Loss,f1,number_of_samples,percentage_of_samples
0.01593799761030823,0.43181818181818177,100,0.09803921568627451
0.013610666417258067,0.4626865671641791,200,0.19607843137254902
0.014331501979743026,0.3870967741935484,300,0.29411764705882354
0.013250513739573458,0.44787644787644787,400,0.39215686274509803
0.0136832547852666,0.48148148148148145,500,0.49019607843137253
0.013830270766953213,0.3598326359832636,600,0.5882352941176471
0.01364092311511437,0.41732283464566927,700,0.6862745098039216
0.013585467719369464,0.4016064257028113,800,0.7843137254901961
0.013565058768209484,0.3404255319148936,900,0.8823529411764706
0.01375104539329186,0.4513618677042802,1000,0.9803921568627451
