Loss,f1,number_of_samples,percentage_of_samples
0.015705751759621005,0.4290909090909091,100,0.09803921568627451
0.014520977041684091,0.5067567567567568,200,0.19607843137254902
0.013675032849682288,0.37551020408163266,300,0.29411764705882354
0.013169535028282553,0.4418604651162791,400,0.39215686274509803
0.013298181150781197,0.44961240310077516,500,0.49019607843137253
0.013569485202121237,0.4661654135338346,600,0.5882352941176471
0.01344475254882127,0.38842975206611563,700,0.6862745098039216
0.013631285129425427,0.36820083682008364,800,0.7843137254901961
0.014168542945602288,0.2780269058295964,900,0.8823529411764706
0.014344234181205846,0.3217391304347826,1000,0.9803921568627451
