Loss,f1,number_of_samples,percentage_of_samples
0.18296173214912415,0.7178082191780822,51,0.05
0.16737100705504418,0.7391304347826086,102,0.1
0.17780014723539353,0.782122905027933,153,0.15
0.14814621694386004,0.7696335078534032,204,0.2
0.13871448747813703,0.773841961852861,254,0.24901960784313726
0.18374263271689414,0.7381546134663343,306,0.3
0.194837349653244,0.7519582245430808,357,0.35
0.1543022830039263,0.755784061696658,408,0.4
0.16481253057718276,0.784,458,0.44901960784313727
0.17393522560596467,0.7967914438502673,509,0.49901960784313726
0.17538684457540513,0.8103896103896103,561,0.55
0.1353149600327015,0.8162162162162163,612,0.6
0.16354511082172393,0.8020833333333334,663,0.65
0.1635001093149185,0.8031496062992125,714,0.7
0.18638681769371032,0.7871287128712872,765,0.75
0.1306924305856228,0.8064516129032259,816,0.8
0.15912137925624847,0.803030303030303,867,0.85
0.15775609016418457,0.7916666666666665,918,0.9
0.1435296393930912,0.8074866310160429,969,0.95
0.1192839115858078,0.8165374677002585,1020,1.0
