Loss,f1,number_of_samples,percentage_of_samples
0.21710047870874405,0.6495726495726496,51,0.05
0.1834799587726593,0.7371273712737128,102,0.1
0.17080582156777382,0.7157894736842105,153,0.15
0.1818660244345665,0.7455919395465995,204,0.2
0.1495491150766611,0.772117962466488,254,0.24901960784313726
0.16228246092796325,0.7650273224043715,306,0.3
0.21173325777053834,0.7499999999999999,357,0.35
0.14025588799268007,0.7978723404255319,408,0.4
0.1618640422821045,0.7723785166240409,458,0.44901960784313727
0.17660461962223054,0.7877237851662405,509,0.49901960784313726
0.1588945835828781,0.790450928381963,561,0.55
0.12253818213939667,0.8296703296703296,612,0.6
0.13689350560307503,0.806366047745358,663,0.65
0.16888320371508597,0.7930174563591023,714,0.7
0.16303434371948242,0.8051948051948051,765,0.75
0.14908008500933648,0.8290155440414507,816,0.8
0.13374507576227188,0.8165374677002585,867,0.85
0.1376016154885292,0.804289544235925,918,0.9
0.14603183120489122,0.8020833333333334,969,0.95
0.13319060802459717,0.8128342245989304,1020,1.0
