Loss,f1,number_of_samples,percentage_of_samples
0.18949975669384003,0.7071823204419889,51,0.05
0.18466736227273942,0.7340425531914894,102,0.1
0.18253442645072937,0.7348066298342542,153,0.15
0.16385385915637016,0.7249190938511326,204,0.2
0.17886367738246917,0.7373737373737375,254,0.24901960784313726
0.1394539661705494,0.770949720670391,306,0.3
0.14077062606811525,0.7796610169491525,357,0.35
0.14178724586963654,0.7603305785123967,408,0.4
0.146111086755991,0.7527472527472528,458,0.44901960784313727
0.14636432379484177,0.7603305785123967,509,0.49901960784313726
0.1454763799905777,0.7909319899244333,561,0.55
0.15529644042253493,0.7938931297709922,612,0.6
0.12508415766060352,0.777142857142857,663,0.65
0.1383573103696108,0.8020833333333334,714,0.7
0.1489021435379982,0.7860696517412936,765,0.75
0.14038581624627114,0.7957559681697612,816,0.8
0.14270634576678276,0.8020565552699229,867,0.85
0.13807480409741402,0.8096514745308312,918,0.9
0.1411690130829811,0.804177545691906,969,0.95
0.11911565363407135,0.8021390374331551,1020,1.0
