Loss,f1,number_of_samples,percentage_of_samples
0.18833935707807542,0.6931818181818181,51,0.05
0.17909818440675734,0.6355685131195336,102,0.1
0.15192116796970367,0.7736842105263158,153,0.15
0.14531109780073165,0.7720207253886011,204,0.2
0.15396176874637604,0.765840220385675,254,0.24901960784313726
0.15000764653086662,0.765498652291105,306,0.3
0.1530287191271782,0.7672634271099744,357,0.35
0.16202855482697487,0.7377521613832853,408,0.4
0.14021170288324356,0.82010582010582,458,0.44901960784313727
0.12650633603334427,0.8150134048257373,509,0.49901960784313726
0.13168128319084643,0.81151832460733,561,0.55
0.12523713819682597,0.8229166666666666,612,0.6
0.11860974542796612,0.8106666666666666,663,0.65
0.1256995528936386,0.8121546961325967,714,0.7
0.13341101929545401,0.7870619946091644,765,0.75
0.1297650832682848,0.81151832460733,816,0.8
0.12641329690814018,0.8238482384823849,867,0.85
0.1398007333278656,0.8105263157894738,918,0.9
0.1589432179927826,0.7896103896103895,969,0.95
0.14389625191688538,0.8020833333333334,1020,1.0
