Loss,f1,number_of_samples,percentage_of_samples
0.44899702072143555,0.7003525264394829,84,0.04970414201183432
0.3937186002731323,0.7566988210075025,169,0.1
0.39069331586360934,0.762119503945885,253,0.14970414201183432
0.31158820986747743,0.8,338,0.2
0.2890976518392563,0.8386433710174717,422,0.24970414201183433
0.2593595921993256,0.8512720156555772,507,0.3
0.18897529542446137,0.866062437059416,591,0.3497041420118343
0.21043256521224976,0.8676923076923078,676,0.4
0.20520470142364503,0.8835257082896117,760,0.44970414201183434
0.21405034363269806,0.8649789029535866,844,0.49940828402366866
0.18097310960292817,0.8713272543059777,929,0.5497041420118344
0.20591675788164138,0.8653648509763617,1014,0.6
0.17097148597240447,0.894523326572008,1098,0.6497041420118344
0.16143468096852304,0.882051282051282,1183,0.7
0.16414952427148818,0.8928571428571429,1267,0.7497041420118343
0.1684207946062088,0.8901960784313726,1352,0.8
0.168884938955307,0.8869047619047619,1436,0.8497041420118343
0.17649905383586884,0.8879668049792531,1521,0.9
0.21455119252204896,0.8740581270182991,1605,0.9497041420118343
0.1595558375120163,0.8813905930470347,1690,1.0
