Loss,f1,number_of_samples,percentage_of_samples
0.516479842364788,0.6780045351473922,84,0.04970414201183432
0.5313253477215767,0.7174677608440798,169,0.1
0.3930235356092453,0.7777777777777777,253,0.14970414201183432
0.3705642521381378,0.8135964912280702,338,0.2
0.32601288333535194,0.7973713033953999,422,0.24970414201183433
0.268795870244503,0.8440748440748439,507,0.3
0.20477837324142456,0.8675171736997056,591,0.3497041420118343
0.18660324066877365,0.8812877263581489,676,0.4
0.2001201044768095,0.8822393822393821,760,0.44970414201183434
0.19070801697671413,0.8839458413926499,844,0.49940828402366866
0.18924732878804207,0.8961424332344213,929,0.5497041420118344
0.20076011307537556,0.8789420142421159,1014,0.6
0.21045680157840252,0.8618219037871034,1098,0.6497041420118344
0.15745753794908524,0.8981670061099796,1183,0.7
0.17048208974301815,0.8845760980592442,1267,0.7497041420118343
0.17035832069814205,0.8855721393034826,1352,0.8
0.1671372465789318,0.8786952089704384,1436,0.8497041420118343
0.17803693190217018,0.8819875776397517,1521,0.9
0.17343174293637276,0.882051282051282,1605,0.9497041420118343
0.16105025634169579,0.8911290322580646,1690,1.0
