Loss,f1,number_of_samples,percentage_of_samples
0.4616405879232017,0.7724137931034483,84,0.04970414201183432
0.3621762872419574,0.8188050930460333,169,0.1
0.29074316048486665,0.850261780104712,253,0.14970414201183432
0.28558270108293404,0.866062437059416,338,0.2
0.2515769355337728,0.8577154308617234,422,0.24970414201183433
0.2801550964570858,0.8621830209481808,507,0.3
0.25375766442580655,0.8586497890295358,591,0.3497041420118343
0.25987631404264405,0.8583420776495277,676,0.4
0.22455482532016255,0.8680042238648362,760,0.44970414201183434
0.20750967593101616,0.8806584362139919,844,0.49940828402366866
0.19899134744297375,0.8827726809378185,929,0.5497041420118344
0.24331227529116653,0.8470066518847006,1014,0.6
0.177102422172373,0.8676470588235294,1098,0.6497041420118344
0.17553507689047942,0.8571428571428571,1183,0.7
0.16485869825224986,0.8664563617245005,1267,0.7497041420118343
0.16177996527403593,0.8712273641851107,1352,0.8
0.17619428665123202,0.878,1436,0.8497041420118343
0.16147380135953426,0.8779979144942649,1521,0.9
0.19755758497525344,0.8464818763326226,1605,0.9497041420118343
0.18032984460958026,0.8553191489361701,1690,1.0
