Loss,f1,number_of_samples,percentage_of_samples
0.2824649542570114,0.6346153846153846,21,0.04783599088838269
0.27062007784843445,0.6868686868686869,43,0.0979498861047836
0.2678911328315735,0.7272727272727274,65,0.1480637813211845
0.2583031922578812,0.7142857142857143,87,0.19817767653758542
0.26238058507442474,0.6542056074766355,109,0.24829157175398633
0.2435920864343643,0.6862745098039216,131,0.2984054669703872
0.23084101676940919,0.660377358490566,153,0.34851936218678814
0.23463053703308107,0.7226890756302521,175,0.39863325740318906
0.22155646681785585,0.7478260869565218,197,0.44874715261959
0.22314951568841934,0.7777777777777778,219,0.4988610478359909
0.2094060003757477,0.694214876033058,241,0.5489749430523918
0.17707447409629823,0.7850467289719626,263,0.5990888382687927
0.20191025584936143,0.7787610619469026,285,0.6492027334851936
0.1997436448931694,0.7543859649122807,307,0.6993166287015945
0.22612216621637343,0.7521367521367521,329,0.7494305239179955
0.20073488354682922,0.7522935779816514,351,0.7995444191343963
0.2026454836130142,0.7659574468085106,373,0.8496583143507973
0.20794267058372498,0.7478260869565218,395,0.8997722095671982
0.210034741461277,0.7154471544715447,417,0.9498861047835991
0.20658338367938994,0.7454545454545455,438,0.9977220956719818
