Loss,f1,number_of_samples,percentage_of_samples
0.2566813051700592,0.6722689075630253,21,0.04783599088838269
0.2731828629970551,0.6972477064220184,43,0.0979498861047836
0.25207620561122895,0.7592592592592593,65,0.1480637813211845
0.2417832612991333,0.7818181818181819,87,0.19817767653758542
0.2226010024547577,0.7818181818181819,109,0.24829157175398633
0.2281354397535324,0.7636363636363637,131,0.2984054669703872
0.2189931735396385,0.7706422018348624,153,0.34851936218678814
0.22312147319316863,0.7478260869565218,175,0.39863325740318906
0.2167666256427765,0.736842105263158,197,0.44874715261959
0.21408334523439407,0.7678571428571429,219,0.4988610478359909
0.277181476354599,0.6013986013986014,241,0.5489749430523918
0.21806845515966417,0.7567567567567568,263,0.5990888382687927
0.21985720992088317,0.7478260869565218,285,0.6492027334851936
0.20730381458997726,0.7586206896551724,307,0.6993166287015945
0.19818081855773925,0.7747747747747747,329,0.7494305239179955
0.21464241445064544,0.7049180327868853,351,0.7995444191343963
0.19180063754320145,0.7289719626168225,373,0.8496583143507973
0.23488910794258117,0.6972477064220184,395,0.8997722095671982
0.19528744518756866,0.7857142857142858,417,0.9498861047835991
0.2191276252269745,0.7333333333333334,438,0.9977220956719818
