Loss,f1,number_of_samples,percentage_of_samples
0.3706207722425461,0.5901639344262295,21,0.04783599088838269
0.37109754979610443,0.634920634920635,43,0.0979498861047836
0.3264474719762802,0.6557377049180327,65,0.1480637813211845
0.2918644845485687,0.6964285714285715,87,0.19817767653758542
0.32561931014060974,0.6964285714285715,109,0.24829157175398633
0.3008280098438263,0.7179487179487181,131,0.2984054669703872
0.284163236618042,0.7079646017699116,153,0.34851936218678814
0.2612936794757843,0.7079646017699116,175,0.39863325740318906
0.24204950779676437,0.7339449541284404,197,0.44874715261959
0.2400420531630516,0.7027027027027026,219,0.4988610478359909
0.2810071036219597,0.6825396825396824,241,0.5489749430523918
0.20701269060373306,0.7706422018348624,263,0.5990888382687927
0.22443560138344765,0.7478260869565218,285,0.6492027334851936
0.1991751529276371,0.7962962962962964,307,0.6993166287015945
0.2178824096918106,0.7478260869565218,329,0.7494305239179955
0.2067529708147049,0.7610619469026548,351,0.7995444191343963
0.2123296558856964,0.7747747747747747,373,0.8496583143507973
0.2330235354602337,0.7747747747747747,395,0.8997722095671982
0.20899295806884766,0.7478260869565218,417,0.9498861047835991
0.20846378058195114,0.7787610619469026,438,0.9977220956719818
