f1,number_of_samples,percentage_of_samples
0.7122244,84.0,0.0497041420118343
0.7769936,169.0,0.1
0.8059946,253.0,0.1497041420118343
0.8396634000000001,338.0,0.2
0.8569218,422.0,0.2497041420118343
0.8680410000000001,507.0,0.3
0.8709558000000002,591.0,0.3497041420118343
0.8836176,676.0,0.4
0.8941513999999999,760.0,0.4497041420118343
0.8916218,844.0,0.4994082840236686
0.8931752,929.0,0.5497041420118344
0.890292,1014.0,0.6
0.8860252000000001,1098.0,0.6497041420118344
0.8952554000000001,1183.0,0.7
0.8988242,1267.0,0.7497041420118343
0.8996562000000001,1352.0,0.8
0.8980370000000001,1436.0,0.8497041420118343
0.8982289999999999,1521.0,0.9
0.896098,1605.0,0.9497041420118344
0.8952503999999999,1690.0,1.0
