f1,number_of_samples,percentage_of_samples
0.8288722,84.0,0.0497041420118343
0.8440424,169.0,0.1
0.8506371999999999,253.0,0.1497041420118343
0.8642569999999999,338.0,0.2
0.874337,422.0,0.2497041420118343
0.8765034,507.0,0.3
0.8747214,591.0,0.3497041420118343
0.8730202,676.0,0.4
0.8824162,760.0,0.4497041420118343
0.887894,844.0,0.4994082840236686
0.8850490000000001,929.0,0.5497041420118344
0.8906449999999999,1014.0,0.6
0.8926544,1098.0,0.6497041420118344
0.8955690000000001,1183.0,0.7
0.8929653999999999,1267.0,0.7497041420118343
0.8951969999999999,1352.0,0.8
0.8972512,1436.0,0.8497041420118343
0.8942504,1521.0,0.9
0.8909494,1605.0,0.9497041420118344
0.8980219999999999,1690.0,1.0
