f1,number_of_samples,percentage_of_samples
0.6629904,21.0,0.0478359908883826
0.7215157,43.0,0.0979498861047836
0.7383237,65.0,0.1480637813211845
0.7614791999999999,87.0,0.1981776765375854
0.7731374000000001,109.0,0.2482915717539863
0.7872589999999999,131.0,0.2984054669703872
0.7997983000000001,153.0,0.3485193621867881
0.800427,175.0,0.398633257403189
0.8082625999999999,197.0,0.44874715261959
0.8291777,219.0,0.4988610478359909
0.8221329,241.0,0.5489749430523918
0.8276245,263.0,0.5990888382687927
0.8170911999999999,285.0,0.6492027334851936
0.8167227,307.0,0.6993166287015945
0.8110847,329.0,0.7494305239179955
0.8090603,351.0,0.7995444191343963
0.817929,373.0,0.8496583143507973
0.8174319000000001,395.0,0.8997722095671982
0.8109935,417.0,0.9498861047835992
0.8171471,438.0,0.9977220956719818
