f1,number_of_samples,percentage_of_samples
0.667186,21.0,0.0478359908883826
0.7036469000000001,43.0,0.0979498861047836
0.7035180000000001,65.0,0.1480637813211845
0.7304272,87.0,0.1981776765375854
0.7477024,109.0,0.2482915717539863
0.7509197999999999,131.0,0.2984054669703872
0.762382,153.0,0.3485193621867881
0.781358,175.0,0.398633257403189
0.782632,197.0,0.44874715261959
0.7862993,219.0,0.4988610478359909
0.7889345000000001,241.0,0.5489749430523918
0.7952769,263.0,0.5990888382687927
0.8015822,285.0,0.6492027334851936
0.8006468999999999,307.0,0.6993166287015945
0.8089348,329.0,0.7494305239179955
0.799133,351.0,0.7995444191343963
0.8051524999999999,373.0,0.8496583143507973
0.8065372999999999,395.0,0.8997722095671982
0.8110415,417.0,0.9498861047835992
0.8234977000000001,438.0,0.9977220956719818
