f1,number_of_samples,percentage_of_samples
0.7166685,51.0,0.05
0.7467663,102.0,0.1
0.7682599999999999,153.0,0.15
0.7729836000000001,204.0,0.2
0.7860794,254.0,0.2490196078431372
0.7843902,306.0,0.3
0.7871248000000001,357.0,0.35
0.791817,408.0,0.4
0.8046450999999999,458.0,0.4490196078431372
0.8213701,509.0,0.4990196078431372
0.8176080000000001,561.0,0.55
0.8224800999999999,612.0,0.6
0.8167544,663.0,0.65
0.8274876000000001,714.0,0.7
0.8318764999999999,765.0,0.75
0.829978,816.0,0.8
0.8306296,867.0,0.85
0.8329115999999999,918.0,0.9
0.8338913,969.0,0.95
0.8304180999999999,1020.0,1.0
