f1,number_of_samples,percentage_of_samples
0.7154111000000001,51.0,0.05
0.7454244,102.0,0.1
0.7641458,153.0,0.15
0.7671156,204.0,0.2
0.7875671,254.0,0.2490196078431372
0.7900921000000001,306.0,0.3
0.7920032,357.0,0.35
0.7980330999999999,408.0,0.4
0.8017932999999999,458.0,0.4490196078431372
0.8180916999999999,509.0,0.4990196078431372
0.8245321999999999,561.0,0.55
0.8253858000000001,612.0,0.6
0.8233758999999999,663.0,0.65
0.8288976,714.0,0.7
0.8305346,765.0,0.75
0.8374667,816.0,0.8
0.826793,867.0,0.85
0.8329456000000001,918.0,0.9
0.830401,969.0,0.95
0.8322733,1020.0,1.0
