f1,number_of_samples,percentage_of_samples
0.7314532,51.0,0.05
0.7555337,102.0,0.1
0.766118,153.0,0.15
0.7757358,204.0,0.2
0.7921718999999999,254.0,0.2490196078431372
0.8003659000000001,306.0,0.3
0.8010776,357.0,0.35
0.8087384999999999,408.0,0.4
0.8203142,458.0,0.4490196078431372
0.8275002,509.0,0.4990196078431372
0.8265508,561.0,0.55
0.8248357000000001,612.0,0.6
0.8281810000000001,663.0,0.65
0.8234767,714.0,0.7
0.8282254,765.0,0.75
0.8307884,816.0,0.8
0.8293091,867.0,0.85
0.8286398,918.0,0.9
0.8286993,969.0,0.95
0.8344359000000001,1020.0,1.0
