f1,number_of_samples,percentage_of_samples
0.7387794572,84.0,0.049704142
0.7923700807999999,169.0,0.1
0.809241263,253.0,0.149704142
0.8358122752,338.0,0.2
0.8552487296000001,422.0,0.249704142
0.8691616288,507.0,0.3
0.8798700302,591.0,0.349704142
0.8894456401999999,676.0,0.4
0.8942555002000001,760.0,0.449704142
0.8946714782,844.0,0.499408284
0.8901809058,929.0,0.549704142
0.8935637118,1014.0,0.6
0.8918240898,1098.0,0.649704142
0.9000992593999999,1183.0,0.7
0.8966665612,1267.0,0.749704142
0.897470305,1352.0,0.8
0.8999739968,1436.0,0.849704142
0.897786123,1521.0,0.9
0.8976558372,1605.0,0.949704142
0.895766149,1690.0,1.0
