f1,number_of_samples,percentage_of_samples
0.8231067494,84.0,0.049704142
0.8459071177,169.0,0.1
0.854823001,253.0,0.149704142
0.8628578545,338.0,0.2
0.8733861371,422.0,0.249704142
0.8747035078,507.0,0.3
0.8751650547000001,591.0,0.349704142
0.8758857210000001,676.0,0.4
0.8820851989999999,760.0,0.449704142
0.8845744742999999,844.0,0.499408284
0.8835121351999999,929.0,0.549704142
0.8854024179,1014.0,0.6
0.8874212234,1098.0,0.649704142
0.8935615467,1183.0,0.7
0.8925523084,1267.0,0.749704142
0.8901410154,1352.0,0.8
0.8940834753000001,1436.0,0.849704142
0.8934923221,1521.0,0.9
0.8917771548,1605.0,0.949704142
0.8952910653,1690.0,1.0
