f1,number_of_samples,percentage_of_samples
0.7923635,84.0,0.0497041420118343
0.8313468333333334,169.0,0.1
0.8541835,253.0,0.1497041420118343
0.8705558333333333,338.0,0.2
0.8740036666666667,422.0,0.2497041420118343
0.882165,507.0,0.3
0.8812313333333334,591.0,0.3497041420118343
0.884954,676.0,0.4
0.8881205,760.0,0.4497041420118343
0.8928723333333334,844.0,0.4994082840236686
0.8967711666666666,929.0,0.5497041420118344
0.8931966666666667,1014.0,0.6
0.8980941666666666,1098.0,0.6497041420118344
0.8969658333333334,1183.0,0.7
0.8922943333333334,1267.0,0.7497041420118343
0.8970016666666667,1352.0,0.8
0.8952111666666666,1436.0,0.8497041420118343
0.8960931666666667,1521.0,0.9
0.8906226666666667,1605.0,0.9497041420118344
0.8949521666666667,1690.0,1.0
