f1,number_of_samples,percentage_of_samples
0.6834661,21.0,0.0478359908883826
0.7135523,43.0,0.0979498861047836
0.7083439,65.0,0.1480637813211845
0.7519637,87.0,0.1981776765375854
0.7431387,109.0,0.2482915717539863
0.7576072,131.0,0.2984054669703872
0.7779414,153.0,0.3485193621867881
0.7812169,175.0,0.398633257403189
0.7842203,197.0,0.44874715261959
0.8010518,219.0,0.4988610478359909
0.8074324,241.0,0.5489749430523918
0.8177532,263.0,0.5990888382687927
0.8099347,285.0,0.6492027334851936
0.814316,307.0,0.6993166287015945
0.8211179,329.0,0.7494305239179955
0.7961834,351.0,0.7995444191343963
0.8077795999999999,373.0,0.8496583143507973
0.8101132,395.0,0.8997722095671982
0.8088460999999999,417.0,0.9498861047835992
0.8054788,438.0,0.9977220956719818
