run_id,f1,number_of_samples,percentage_of_samples
0,0.744681,51,0.05
0,0.741855,102,0.1
0,0.790932,153,0.15
0,0.721925,204,0.2
0,0.792453,254,0.24901960784313726
0,0.775194,306,0.3
0,0.768844,357,0.35
0,0.772222,408,0.4
0,0.810811,458,0.44901960784313727
0,0.807799,509,0.49901960784313726
0,0.811518,561,0.55
0,0.832,612,0.6
0,0.827586,663,0.65
0,0.838889,714,0.7
0,0.808743,765,0.75
0,0.828169,816,0.8
0,0.829787,867,0.85
0,0.823848,918,0.9
0,0.853026,969,0.95
0,0.845938,1020,1.0
1,0.695652,51,0.05
1,0.73822,102,0.1
1,0.735695,153,0.15
1,0.769634,204,0.2
1,0.767196,254,0.24901960784313726
1,0.772846,306,0.3
1,0.77665,357,0.35
1,0.781491,408,0.4
1,0.802139,458,0.44901960784313727
1,0.808864,509,0.49901960784313726
1,0.816754,561,0.55
1,0.815584,612,0.6
1,0.817942,663,0.65
1,0.836364,714,0.7
1,0.822281,765,0.75
1,0.827397,816,0.8
1,0.830287,867,0.85
1,0.828729,918,0.9
1,0.831522,969,0.95
1,0.830688,1020,1.0
2,0.718841,51,0.05
2,0.686486,102,0.1
2,0.772021,153,0.15
2,0.8,204,0.2
2,0.791209,254,0.24901960784313726
2,0.796875,306,0.3
2,0.8,357,0.35
2,0.79661,408,0.4
2,0.805128,458,0.44901960784313727
2,0.833333,509,0.49901960784313726
2,0.824468,561,0.55
2,0.825485,612,0.6
2,0.806283,663,0.65
2,0.816327,714,0.7
2,0.832891,765,0.75
2,0.827957,816,0.8
2,0.837838,867,0.85
2,0.840108,918,0.9
2,0.83558,969,0.95
2,0.826446,1020,1.0
3,0.701087,51,0.05
3,0.740157,102,0.1
3,0.764706,153,0.15
3,0.760494,204,0.2
3,0.786632,254,0.24901960784313726
3,0.780488,306,0.3
3,0.777494,357,0.35
3,0.790576,408,0.4
3,0.803235,458,0.44901960784313727
3,0.835227,509,0.49901960784313726
3,0.807198,561,0.55
3,0.804233,612,0.6
3,0.825137,663,0.65
3,0.825641,714,0.7
3,0.832905,765,0.75
3,0.827027,816,0.8
3,0.824742,867,0.85
3,0.827586,918,0.9
3,0.834734,969,0.95
3,0.832877,1020,1.0
4,0.718919,51,0.05
4,0.779292,102,0.1
4,0.769231,153,0.15
4,0.78022,204,0.2
4,0.791557,254,0.24901960784313726
4,0.803191,306,0.3
4,0.789873,357,0.35
4,0.822888,408,0.4
4,0.810959,458,0.44901960784313727
4,0.817439,509,0.49901960784313726
4,0.820779,561,0.55
4,0.816667,612,0.6
4,0.819588,663,0.65
4,0.827225,714,0.7
4,0.83376,765,0.75
4,0.829396,816,0.8
4,0.84153,867,0.85
4,0.828496,918,0.9
4,0.836957,969,0.95
4,0.814016,1020,1.0
5,0.741573,51,0.05
5,0.73107,102,0.1
5,0.75,153,0.15
5,0.793296,204,0.2
5,0.789333,254,0.24901960784313726
5,0.780749,306,0.3
5,0.774194,357,0.35
5,0.78553,408,0.4
5,0.812155,458,0.44901960784313727
5,0.811111,509,0.49901960784313726
5,0.790323,561,0.55
5,0.820375,612,0.6
5,0.809651,663,0.65
5,0.808399,714,0.7
5,0.834646,765,0.75
5,0.826316,816,0.8
5,0.822281,867,0.85
5,0.834646,918,0.9
5,0.825137,969,0.95
5,0.818428,1020,1.0
6,0.71916,51,0.05
6,0.78628,102,0.1
6,0.798928,153,0.15
6,0.803279,204,0.2
6,0.795756,254,0.24901960784313726
6,0.780749,306,0.3
6,0.802228,357,0.35
6,0.814016,408,0.4
6,0.809399,458,0.44901960784313727
6,0.831099,509,0.49901960784313726
6,0.830601,561,0.55
6,0.824859,612,0.6
6,0.790055,663,0.65
6,0.827778,714,0.7
6,0.834688,765,0.75
6,0.830287,816,0.8
6,0.832041,867,0.85
6,0.845528,918,0.9
6,0.835052,969,0.95
6,0.843836,1020,1.0
7,0.672043,51,0.05
7,0.725762,102,0.1
7,0.753388,153,0.15
7,0.74184,204,0.2
7,0.786458,254,0.24901960784313726
7,0.790323,306,0.3
7,0.790055,357,0.35
7,0.765363,408,0.4
7,0.793566,458,0.44901960784313727
7,0.840108,509,0.49901960784313726
7,0.828571,561,0.55
7,0.83965,612,0.6
7,0.816216,663,0.65
7,0.825974,714,0.7
7,0.845745,765,0.75
7,0.830769,816,0.8
7,0.831956,867,0.85
7,0.832861,918,0.9
7,0.825485,969,0.95
7,0.828169,1020,1.0
8,0.733138,51,0.05
8,0.78453,102,0.1
8,0.795699,153,0.15
8,0.797784,204,0.2
8,0.792244,254,0.24901960784313726
8,0.784,306,0.3
8,0.80791,357,0.35
8,0.789474,408,0.4
8,0.801105,458,0.44901960784313727
8,0.821333,509,0.49901960784313726
8,0.834197,561,0.55
8,0.830084,612,0.6
8,0.82659,663,0.65
8,0.846361,714,0.7
8,0.835897,765,0.75
8,0.835897,816,0.8
8,0.825065,867,0.85
8,0.831579,918,0.9
8,0.827195,969,0.95
8,0.826087,1020,1.0
9,0.721591,51,0.05
9,0.754011,102,0.1
9,0.752,153,0.15
9,0.761364,204,0.2
9,0.767956,254,0.24901960784313726
9,0.779487,306,0.3
9,0.784,357,0.35
9,0.8,408,0.4
9,0.797954,458,0.44901960784313727
9,0.807388,509,0.49901960784313726
9,0.811671,561,0.55
9,0.815864,612,0.6
9,0.828496,663,0.65
9,0.821918,714,0.7
9,0.837209,765,0.75
9,0.836565,816,0.8
9,0.830769,867,0.85
9,0.835735,918,0.9
9,0.834225,969,0.95
9,0.837696,1020,1.0
