run_id,f1,number_of_samples,percentage_of_samples
0,0.708229,51,0.05
0,0.697789,102,0.1
0,0.755556,153,0.15
0,0.788204,204,0.2
0,0.788732,254,0.24901960784313726
0,0.797844,306,0.3
0,0.807799,357,0.35
0,0.788732,408,0.4
0,0.784615,458,0.44901960784313727
0,0.821622,509,0.49901960784313726
0,0.822581,561,0.55
0,0.821622,612,0.6
0,0.832891,663,0.65
0,0.827225,714,0.7
0,0.814815,765,0.75
0,0.837696,816,0.8
0,0.832,867,0.85
0,0.830189,918,0.9
0,0.829268,969,0.95
0,0.828571,1020,1.0
1,0.703601,51,0.05
1,0.764858,102,0.1
1,0.775309,153,0.15
1,0.805195,204,0.2
1,0.773067,254,0.24901960784313726
1,0.788804,306,0.3
1,0.787062,357,0.35
1,0.805128,408,0.4
1,0.795918,458,0.44901960784313727
1,0.803191,509,0.49901960784313726
1,0.811268,561,0.55
1,0.820937,612,0.6
1,0.834734,663,0.65
1,0.815385,714,0.7
1,0.84153,765,0.75
1,0.830189,816,0.8
1,0.828877,867,0.85
1,0.832891,918,0.9
1,0.830688,969,0.95
1,0.825737,1020,1.0
2,0.72973,51,0.05
2,0.778409,102,0.1
2,0.775956,153,0.15
2,0.751351,204,0.2
2,0.791444,254,0.24901960784313726
2,0.79564,306,0.3
2,0.803279,357,0.35
2,0.82659,408,0.4
2,0.816,458,0.44901960784313727
2,0.823848,509,0.49901960784313726
2,0.850704,561,0.55
2,0.814621,612,0.6
2,0.819945,663,0.65
2,0.829132,714,0.7
2,0.839572,765,0.75
2,0.827225,816,0.8
2,0.834646,867,0.85
2,0.845304,918,0.9
2,0.834646,969,0.95
2,0.839779,1020,1.0
3,0.704961,51,0.05
3,0.739659,102,0.1
3,0.77635,153,0.15
3,0.765027,204,0.2
3,0.790323,254,0.24901960784313726
3,0.78392,306,0.3
3,0.794595,357,0.35
3,0.787709,408,0.4
3,0.795756,458,0.44901960784313727
3,0.803235,509,0.49901960784313726
3,0.824176,561,0.55
3,0.835655,612,0.6
3,0.810667,663,0.65
3,0.831579,714,0.7
3,0.827586,765,0.75
3,0.842105,816,0.8
3,0.820225,867,0.85
3,0.832041,918,0.9
3,0.820106,969,0.95
3,0.825137,1020,1.0
4,0.682927,51,0.05
4,0.748603,102,0.1
4,0.731183,153,0.15
4,0.755102,204,0.2
4,0.797814,254,0.24901960784313726
4,0.790323,306,0.3
4,0.794595,357,0.35
4,0.801105,408,0.4
4,0.811989,458,0.44901960784313727
4,0.832877,509,0.49901960784313726
4,0.834225,561,0.55
4,0.830084,612,0.6
4,0.821229,663,0.65
4,0.818182,714,0.7
4,0.819588,765,0.75
4,0.836461,816,0.8
4,0.831099,867,0.85
4,0.831169,918,0.9
4,0.829016,969,0.95
4,0.841808,1020,1.0
5,0.753927,51,0.05
5,0.745308,102,0.1
5,0.746594,153,0.15
5,0.758808,204,0.2
5,0.792453,254,0.24901960784313726
5,0.807692,306,0.3
5,0.809651,357,0.35
5,0.796791,408,0.4
5,0.812325,458,0.44901960784313727
5,0.834225,509,0.49901960784313726
5,0.809783,561,0.55
5,0.823529,612,0.6
5,0.820225,663,0.65
5,0.832461,714,0.7
5,0.836461,765,0.75
5,0.83905,816,0.8
5,0.824147,867,0.85
5,0.826816,918,0.9
5,0.846797,969,0.95
5,0.828169,1020,1.0
6,0.699725,51,0.05
6,0.760331,102,0.1
6,0.757062,153,0.15
6,0.78125,204,0.2
6,0.781915,254,0.24901960784313726
6,0.802139,306,0.3
6,0.802198,357,0.35
6,0.811268,408,0.4
6,0.8,458,0.44901960784313727
6,0.805634,509,0.49901960784313726
6,0.827586,561,0.55
6,0.871233,612,0.6
6,0.822535,663,0.65
6,0.847368,714,0.7
6,0.836842,765,0.75
6,0.836461,816,0.8
6,0.822917,867,0.85
6,0.839237,918,0.9
6,0.831522,969,0.95
6,0.833333,1020,1.0
7,0.70936,51,0.05
7,0.7507,102,0.1
7,0.790451,153,0.15
7,0.760417,204,0.2
7,0.770408,254,0.24901960784313726
7,0.770449,306,0.3
7,0.762402,357,0.35
7,0.779747,408,0.4
7,0.794872,458,0.44901960784313727
7,0.817942,509,0.49901960784313726
7,0.809045,561,0.55
7,0.797872,612,0.6
7,0.806283,663,0.65
7,0.831099,714,0.7
7,0.829897,765,0.75
7,0.838542,816,0.8
7,0.821053,867,0.85
7,0.820652,918,0.9
7,0.826316,969,0.95
7,0.832,1020,1.0
8,0.721925,51,0.05
8,0.743719,102,0.1
8,0.759358,153,0.15
8,0.755102,204,0.2
8,0.786096,254,0.24901960784313726
8,0.774194,306,0.3
8,0.776536,357,0.35
8,0.78961,408,0.4
8,0.815642,458,0.44901960784313727
8,0.8125,509,0.49901960784313726
8,0.827225,561,0.55
8,0.819407,612,0.6
8,0.83558,663,0.65
8,0.836957,714,0.7
8,0.829268,765,0.75
8,0.835509,816,0.8
8,0.821333,867,0.85
8,0.84507,918,0.9
8,0.835979,969,0.95
8,0.836158,1020,1.0
9,0.739726,51,0.05
9,0.724868,102,0.1
9,0.773639,153,0.15
9,0.7507,204,0.2
9,0.803419,254,0.24901960784313726
9,0.789916,306,0.3
9,0.781915,357,0.35
9,0.793651,408,0.4
9,0.790816,458,0.44901960784313727
9,0.825843,509,0.49901960784313726
9,0.828729,561,0.55
9,0.818898,612,0.6
9,0.82967,663,0.65
9,0.819588,714,0.7
9,0.829787,765,0.75
9,0.851429,816,0.8
9,0.831633,867,0.85
9,0.826087,918,0.9
9,0.819672,969,0.95
9,0.832041,1020,1.0
