run_id,f1,number_of_samples,percentage_of_samples
0,0.734247,51,0.05
0,0.738386,102,0.1
0,0.78481,153,0.15
0,0.803191,204,0.2
0,0.78125,254,0.24901960784313726
0,0.798956,306,0.3
0,0.796748,357,0.35
0,0.832877,408,0.4
0,0.821918,458,0.44901960784313727
0,0.819209,509,0.49901960784313726
0,0.844193,561,0.55
0,0.824513,612,0.6
0,0.831099,663,0.65
0,0.822888,714,0.7
0,0.838889,765,0.75
0,0.842407,816,0.8
0,0.824742,867,0.85
0,0.827397,918,0.9
0,0.829787,969,0.95
0,0.834254,1020,1.0
1,0.724638,51,0.05
1,0.754617,102,0.1
1,0.754286,153,0.15
1,0.784195,204,0.2
1,0.786704,254,0.24901960784313726
1,0.782369,306,0.3
1,0.790191,357,0.35
1,0.80109,408,0.4
1,0.798834,458,0.44901960784313727
1,0.79558,509,0.49901960784313726
1,0.818942,561,0.55
1,0.812968,612,0.6
1,0.821229,663,0.65
1,0.826446,714,0.7
1,0.817204,765,0.75
1,0.826087,816,0.8
1,0.828729,867,0.85
1,0.836957,918,0.9
1,0.825641,969,0.95
1,0.824176,1020,1.0
2,0.727749,51,0.05
2,0.774194,102,0.1
2,0.772334,153,0.15
2,0.755287,204,0.2
2,0.826087,254,0.24901960784313726
2,0.820937,306,0.3
2,0.807588,357,0.35
2,0.778894,408,0.4
2,0.831956,458,0.44901960784313727
2,0.840909,509,0.49901960784313726
2,0.825737,561,0.55
2,0.811518,612,0.6
2,0.819407,663,0.65
2,0.811671,714,0.7
2,0.809399,765,0.75
2,0.823529,816,0.8
2,0.812339,867,0.85
2,0.819588,918,0.9
2,0.824742,969,0.95
2,0.845938,1020,1.0
3,0.758808,51,0.05
3,0.771574,102,0.1
3,0.784741,153,0.15
3,0.789333,204,0.2
3,0.814208,254,0.24901960784313726
3,0.836066,306,0.3
3,0.826667,357,0.35
3,0.825974,408,0.4
3,0.832877,458,0.44901960784313727
3,0.845528,509,0.49901960784313726
3,0.838196,561,0.55
3,0.840659,612,0.6
3,0.854111,663,0.65
3,0.837696,714,0.7
3,0.831522,765,0.75
3,0.834688,816,0.8
3,0.834606,867,0.85
3,0.84507,918,0.9
3,0.836842,969,0.95
3,0.83905,1020,1.0
4,0.764398,51,0.05
4,0.758824,102,0.1
4,0.76087,153,0.15
4,0.756906,204,0.2
4,0.791328,254,0.24901960784313726
4,0.819149,306,0.3
4,0.811989,357,0.35
4,0.815789,408,0.4
4,0.83558,458,0.44901960784313727
4,0.820937,509,0.49901960784313726
4,0.823219,561,0.55
4,0.842932,612,0.6
4,0.846561,663,0.65
4,0.827027,714,0.7
4,0.827586,765,0.75
4,0.833773,816,0.8
4,0.837989,867,0.85
4,0.82967,918,0.9
4,0.840731,969,0.95
4,0.828496,1020,1.0
5,0.72679,51,0.05
5,0.743662,102,0.1
5,0.75766,153,0.15
5,0.774011,204,0.2
5,0.794937,254,0.24901960784313726
5,0.816754,306,0.3
5,0.814249,357,0.35
5,0.802168,408,0.4
5,0.807588,458,0.44901960784313727
5,0.827397,509,0.49901960784313726
5,0.811268,561,0.55
5,0.808511,612,0.6
5,0.808184,663,0.65
5,0.80663,714,0.7
5,0.825485,765,0.75
5,0.835165,816,0.8
5,0.820253,867,0.85
5,0.811671,918,0.9
5,0.826087,969,0.95
5,0.82153,1020,1.0
6,0.705882,51,0.05
6,0.771831,102,0.1
6,0.762943,153,0.15
6,0.756598,204,0.2
6,0.753388,254,0.24901960784313726
6,0.747126,306,0.3
6,0.762178,357,0.35
6,0.787535,408,0.4
6,0.796703,458,0.44901960784313727
6,0.810959,509,0.49901960784313726
6,0.815584,561,0.55
6,0.815249,612,0.6
6,0.80315,663,0.65
6,0.818428,714,0.7
6,0.814016,765,0.75
6,0.821114,816,0.8
6,0.825843,867,0.85
6,0.835165,918,0.9
6,0.816976,969,0.95
6,0.827225,1020,1.0
7,0.712042,51,0.05
7,0.735219,102,0.1
7,0.75,153,0.15
7,0.781609,204,0.2
7,0.792553,254,0.24901960784313726
7,0.794595,306,0.3
7,0.796875,357,0.35
7,0.805263,408,0.4
7,0.818898,458,0.44901960784313727
7,0.84127,509,0.49901960784313726
7,0.835106,561,0.55
7,0.846154,612,0.6
7,0.836066,663,0.65
7,0.827225,714,0.7
7,0.849315,765,0.75
7,0.835979,816,0.8
7,0.837989,867,0.85
7,0.825974,918,0.9
7,0.831025,969,0.95
7,0.829787,1020,1.0
8,0.730864,51,0.05
8,0.738609,102,0.1
8,0.753316,153,0.15
8,0.75188,204,0.2
8,0.771208,254,0.24901960784313726
8,0.776596,306,0.3
8,0.784884,357,0.35
8,0.824147,408,0.4
8,0.827763,458,0.44901960784313727
8,0.840336,509,0.49901960784313726
8,0.825485,561,0.55
8,0.826446,612,0.6
8,0.827778,663,0.65
8,0.819149,714,0.7
8,0.830688,765,0.75
8,0.818681,816,0.8
8,0.830601,867,0.85
8,0.820652,918,0.9
8,0.820937,969,0.95
8,0.834254,1020,1.0
9,0.729114,51,0.05
9,0.768421,102,0.1
9,0.78022,153,0.15
9,0.804348,204,0.2
9,0.810056,254,0.24901960784313726
9,0.811111,306,0.3
9,0.819407,357,0.35
9,0.813648,408,0.4
9,0.831025,458,0.44901960784313727
9,0.832877,509,0.49901960784313726
9,0.827778,561,0.55
9,0.819407,612,0.6
9,0.834225,663,0.65
9,0.837607,714,0.7
9,0.83815,765,0.75
9,0.836461,816,0.8
9,0.84,867,0.85
9,0.834254,918,0.9
9,0.834225,969,0.95
9,0.859649,1020,1.0
