run_id,f1,number_of_samples,percentage_of_samples
0,0.72,51,0.05
0,0.724138,102,0.1
0,0.741333,153,0.15
0,0.726708,204,0.2
0,0.79661,254,0.24901960784313726
0,0.775401,306,0.3
0,0.774536,357,0.35
0,0.803191,408,0.4
0,0.824468,458,0.44901960784313727
0,0.820106,509,0.49901960784313726
0,0.822222,561,0.55
0,0.834734,612,0.6
0,0.840206,663,0.65
0,0.822888,714,0.7
0,0.839695,765,0.75
0,0.842105,816,0.8
0,0.831169,867,0.85
0,0.840426,918,0.9
0,0.832861,969,0.95
0,0.833333,1020,1.0
1,0.670213,51,0.05
1,0.753927,102,0.1
1,0.74934,153,0.15
1,0.746594,204,0.2
1,0.782609,254,0.24901960784313726
1,0.770833,306,0.3
1,0.823848,357,0.35
1,0.811989,408,0.4
1,0.828877,458,0.44901960784313727
1,0.820513,509,0.49901960784313726
1,0.855586,561,0.55
1,0.836461,612,0.6
1,0.839237,663,0.65
1,0.857143,714,0.7
1,0.844687,765,0.75
1,0.829787,816,0.8
1,0.823219,867,0.85
1,0.832461,918,0.9
1,0.826446,969,0.95
1,0.832432,1020,1.0
2,0.762626,51,0.05
2,0.760494,102,0.1
2,0.78125,153,0.15
2,0.758808,204,0.2
2,0.792651,254,0.24901960784313726
2,0.79558,306,0.3
2,0.802168,357,0.35
2,0.803419,408,0.4
2,0.829545,458,0.44901960784313727
2,0.819407,509,0.49901960784313726
2,0.842105,561,0.55
2,0.838046,612,0.6
2,0.849604,663,0.65
2,0.838356,714,0.7
2,0.84058,765,0.75
2,0.833787,816,0.8
2,0.825316,867,0.85
2,0.837989,918,0.9
2,0.836066,969,0.95
2,0.834254,1020,1.0
3,0.716253,51,0.05
3,0.751351,102,0.1
3,0.761644,153,0.15
3,0.757225,204,0.2
3,0.784211,254,0.24901960784313726
3,0.795812,306,0.3
3,0.809399,357,0.35
3,0.802168,408,0.4
3,0.828986,458,0.44901960784313727
3,0.829396,509,0.49901960784313726
3,0.816976,561,0.55
3,0.841823,612,0.6
3,0.837838,663,0.65
3,0.835165,714,0.7
3,0.824798,765,0.75
3,0.824427,816,0.8
3,0.860274,867,0.85
3,0.836565,918,0.9
3,0.822281,969,0.95
3,0.825397,1020,1.0
4,0.742015,51,0.05
4,0.75188,102,0.1
4,0.784,153,0.15
4,0.740299,204,0.2
4,0.777778,254,0.24901960784313726
4,0.80315,306,0.3
4,0.805556,357,0.35
4,0.813299,408,0.4
4,0.821333,458,0.44901960784313727
4,0.825485,509,0.49901960784313726
4,0.831099,561,0.55
4,0.846995,612,0.6
4,0.83905,663,0.65
4,0.826873,714,0.7
4,0.831956,765,0.75
4,0.826211,816,0.8
4,0.829897,867,0.85
4,0.830084,918,0.9
4,0.845528,969,0.95
4,0.832402,1020,1.0
5,0.752941,51,0.05
5,0.769231,102,0.1
5,0.790451,153,0.15
5,0.794595,204,0.2
5,0.796875,254,0.24901960784313726
5,0.793478,306,0.3
5,0.806366,357,0.35
5,0.821622,408,0.4
5,0.835227,458,0.44901960784313727
5,0.827027,509,0.49901960784313726
5,0.836066,561,0.55
5,0.847368,612,0.6
5,0.834606,663,0.65
5,0.826316,714,0.7
5,0.824798,765,0.75
5,0.820779,816,0.8
5,0.824859,867,0.85
5,0.830601,918,0.9
5,0.842975,969,0.95
5,0.839572,1020,1.0
6,0.708571,51,0.05
6,0.696104,102,0.1
6,0.710383,153,0.15
6,0.726343,204,0.2
6,0.743363,254,0.24901960784313726
6,0.776942,306,0.3
6,0.793651,357,0.35
6,0.804469,408,0.4
6,0.830189,458,0.44901960784313727
6,0.822622,509,0.49901960784313726
6,0.827397,561,0.55
6,0.830601,612,0.6
6,0.834197,663,0.65
6,0.827397,714,0.7
6,0.818414,765,0.75
6,0.824176,816,0.8
6,0.826873,867,0.85
6,0.833333,918,0.9
6,0.844193,969,0.95
6,0.826873,1020,1.0
7,0.720867,51,0.05
7,0.737662,102,0.1
7,0.751381,153,0.15
7,0.740541,204,0.2
7,0.730539,254,0.24901960784313726
7,0.768328,306,0.3
7,0.821705,357,0.35
7,0.816216,408,0.4
7,0.822888,458,0.44901960784313727
7,0.811828,509,0.49901960784313726
7,0.83558,561,0.55
7,0.839437,612,0.6
7,0.861878,663,0.65
7,0.849858,714,0.7
7,0.842391,765,0.75
7,0.825397,816,0.8
7,0.827763,867,0.85
7,0.828877,918,0.9
7,0.827763,969,0.95
7,0.830601,1020,1.0
8,0.695906,51,0.05
8,0.694377,102,0.1
8,0.784,153,0.15
8,0.802083,204,0.2
8,0.78534,254,0.24901960784313726
8,0.803069,306,0.3
8,0.790816,357,0.35
8,0.818898,408,0.4
8,0.825137,458,0.44901960784313727
8,0.830688,509,0.49901960784313726
8,0.816976,561,0.55
8,0.839237,612,0.6
8,0.851648,663,0.65
8,0.832891,714,0.7
8,0.824513,765,0.75
8,0.818653,816,0.8
8,0.830287,867,0.85
8,0.816754,918,0.9
8,0.82967,969,0.95
8,0.825397,1020,1.0
9,0.763819,51,0.05
9,0.772846,102,0.1
9,0.792746,153,0.15
9,0.758974,204,0.2
9,0.790323,254,0.24901960784313726
9,0.794521,306,0.3
9,0.814607,357,0.35
9,0.806452,408,0.4
9,0.827957,458,0.44901960784313727
9,0.849711,509,0.49901960784313726
9,0.84375,561,0.55
9,0.833773,612,0.6
9,0.836364,663,0.65
9,0.832432,714,0.7
9,0.841226,765,0.75
9,0.832402,816,0.8
9,0.825737,867,0.85
9,0.827225,918,0.9
9,0.840108,969,0.95
9,0.829268,1020,1.0
