run_id;f1;number_of_samples;percentage_of_samples
0;0.784437;84;0.049704142
0;0.837895;169;0.1
0;0.839612;253;0.149704142
0;0.839191;338;0.2
0;0.850103;422;0.249704142
0;0.879753;507;0.3
0;0.869565;591;0.349704142
0;0.892678;676;0.4
0;0.905138;760;0.449704142
0;0.902846;844;0.499408284
0;0.891972;929;0.549704142
0;0.890909;1014;0.6
0;0.895854;1098;0.649704142
0;0.902196;1183;0.7
0;0.9;1267;0.749704142
0;0.883864;1352;0.8
0;0.906314;1436;0.849704142
0;0.894019;1521;0.9
0;0.897796;1605;0.949704142
0;0.897233;1690;1
1;0.779939;84;0.049704142
1;0.79598;169;0.1
1;0.804391;253;0.149704142
1;0.860215;338;0.2
1;0.852329;422;0.249704142
1;0.877551;507;0.3
1;0.891945;591;0.349704142
1;0.900503;676;0.4
1;0.896482;760;0.449704142
1;0.906907;844;0.499408284
1;0.898406;929;0.549704142
1;0.906375;1014;0.6
1;0.883065;1098;0.649704142
1;0.898288;1183;0.7
1;0.901758;1267;0.749704142
1;0.903226;1352;0.8
1;0.90672;1436;0.849704142
1;0.900919;1521;0.9
1;0.902637;1605;0.949704142
1;0.902778;1690;1
2;0.708479;84;0.049704142
2;0.763295;169;0.1
2;0.80295;253;0.149704142
2;0.808679;338;0.2
2;0.850794;422;0.249704142
2;0.862069;507;0.3
2;0.869565;591;0.349704142
2;0.892678;676;0.4
2;0.890208;760;0.449704142
2;0.890467;844;0.499408284
2;0.896825;929;0.549704142
2;0.894422;1014;0.6
2;0.894632;1098;0.649704142
2;0.897796;1183;0.7
2;0.904;1267;0.749704142
2;0.900407;1352;0.8
2;0.903689;1436;0.849704142
2;0.893532;1521;0.9
2;0.90101;1605;0.949704142
2;0.894841;1690;1
3;0.772819;84;0.049704142
3;0.792812;169;0.1
3;0.784188;253;0.149704142
3;0.855072;338;0.2
3;0.864809;422;0.249704142
3;0.870466;507;0.3
3;0.876;591;0.349704142
3;0.892028;676;0.4
3;0.89613;760;0.449704142
3;0.900621;844;0.499408284
3;0.892216;929;0.549704142
3;0.895005;1014;0.6
3;0.893788;1098;0.649704142
3;0.907614;1183;0.7
3;0.895314;1267;0.749704142
3;0.887538;1352;0.8
3;0.900407;1436;0.849704142
3;0.90101;1521;0.9
3;0.891892;1605;0.949704142
3;0.895553;1690;1
4;0.736842;84;0.049704142
4;0.740659;169;0.1
4;0.754135;253;0.149704142
4;0.852883;338;0.2
4;0.860861;422;0.249704142
4;0.854291;507;0.3
4;0.871001;591;0.349704142
4;0.868583;676;0.4
4;0.887765;760;0.449704142
4;0.88685;844;0.499408284
4;0.892893;929;0.549704142
4;0.88241;1014;0.6
4;0.895937;1098;0.649704142
4;0.90121;1183;0.7
4;0.891519;1267;0.749704142
4;0.900901;1352;0.8
4;0.891758;1436;0.849704142
4;0.901493;1521;0.9
4;0.902637;1605;0.949704142
4;0.894949;1690;1
5;0.708423;84;0.049704142
5;0.820408;169;0.1
5;0.824;253;0.149704142
5;0.822709;338;0.2
5;0.849151;422;0.249704142
5;0.856549;507;0.3
5;0.889788;591;0.349704142
5;0.897877;676;0.4
5;0.89669;760;0.449704142
5;0.889564;844;0.499408284
5;0.887538;929;0.549704142
5;0.895854;1014;0.6
5;0.899396;1098;0.649704142
5;0.897177;1183;0.7
5;0.895492;1267;0.749704142
5;0.904564;1352;0.8
5;0.904665;1436;0.849704142
5;0.888662;1521;0.9
5;0.906907;1605;0.949704142
5;0.888218;1690;1
6;0.718492;84;0.049704142
6;0.786091;169;0.1
6;0.818268;253;0.149704142
6;0.80042;338;0.2
6;0.839917;422;0.249704142
6;0.876984;507;0.3
6;0.893043;591;0.349704142
6;0.898876;676;0.4
6;0.90101;760;0.449704142
6;0.888454;844;0.499408284
6;0.883534;929;0.549704142
6;0.894;1014;0.6
6;0.899696;1098;0.649704142
6;0.903674;1183;0.7
6;0.893832;1267;0.749704142
6;0.895522;1352;0.8
6;0.896197;1436;0.849704142
6;0.9;1521;0.9
6;0.88685;1605;0.949704142
6;0.89858;1690;1
7;0.763185;84;0.049704142
7;0.829114;169;0.1
7;0.834931;253;0.149704142
7;0.854;338;0.2
7;0.877157;422;0.249704142
7;0.869652;507;0.3
7;0.868869;591;0.349704142
7;0.876133;676;0.4
7;0.886251;760;0.449704142
7;0.889546;844;0.499408284
7;0.893954;929;0.549704142
7;0.897103;1014;0.6
7;0.883721;1098;0.649704142
7;0.887097;1183;0.7
7;0.890244;1267;0.749704142
7;0.891304;1352;0.8
7;0.893242;1436;0.849704142
7;0.897622;1521;0.9
7;0.898642;1605;0.949704142
7;0.889344;1690;1
8;0.707589286;84;0.049704142
8;0.778723404;169;0.1
8;0.814968815;253;0.149704142
8;0.832476876;338;0.2
8;0.853683148;422;0.249704142
8;0.872150644;507;0.3
8;0.884462151;591;0.349704142
8;0.887550201;676;0.4
8;0.891440501;760;0.449704142
8;0.895729891;844;0.499408284
8;0.882235529;929;0.549704142
8;0.889779559;1014;0.6
8;0.886075949;1098;0.649704142
8;0.902970297;1183;0.7
8;0.897253306;1267;0.749704142
8;0.903688525;1352;0.8
8;0.898373984;1436;0.849704142
8;0.900302115;1521;0.9
8;0.894093686;1605;0.949704142
8;0.898082745;1690;1
9;0.707589286;84;0.049704142
9;0.778723404;169;0.1
9;0.814968815;253;0.149704142
9;0.832476876;338;0.2
9;0.853683148;422;0.249704142
9;0.872150644;507;0.3
9;0.884462151;591;0.349704142
9;0.887550201;676;0.4
9;0.891440501;760;0.449704142
9;0.895729891;844;0.499408284
9;0.882235529;929;0.549704142
9;0.889779559;1014;0.6
9;0.886075949;1098;0.649704142
9;0.902970297;1183;0.7
9;0.897253306;1267;0.749704142
9;0.903688525;1352;0.8
9;0.898373984;1436;0.849704142
9;0.900302115;1521;0.9
9;0.894093686;1605;0.949704142
9;0.898082745;1690;1
