run_id;f1;number_of_samples;percentage_of_samples
0;0.717021;84;0.049704142
0;0.808247;169;0.1
0;0.7892;253;0.149704142
0;0.847629;338;0.2
0;0.877654;422;0.249704142
0;0.876033;507;0.3
0;0.860631;591;0.349704142
0;0.888454;676;0.4
0;0.894895;760;0.449704142
0;0.888889;844;0.499408284
0;0.888446;929;0.549704142
0;0.888218;1014;0.6
0;0.886476;1098;0.649704142
0;0.89;1183;0.7
0;0.895431;1267;0.749704142
0;0.905242;1352;0.8
0;0.896761;1436;0.849704142
0;0.897796;1521;0.9
0;0.893281;1605;0.949704142
0;0.896825;1690;1
1;0.707317;84;0.049704142
1;0.809829;169;0.1
1;0.827375;253;0.149704142
1;0.848114;338;0.2
1;0.848297;422;0.249704142
1;0.855145;507;0.3
1;0.871129;591;0.349704142
1;0.884462;676;0.4
1;0.885974;760;0.449704142
1;0.886905;844;0.499408284
1;0.881809;929;0.549704142
1;0.883249;1014;0.6
1;0.882;1098;0.649704142
1;0.895854;1183;0.7
1;0.902903;1267;0.749704142
1;0.898899;1352;0.8
1;0.898551;1436;0.849704142
1;0.902119;1521;0.9
1;0.901804;1605;0.949704142
1;0.898462;1690;1
2;0.688757;84;0.049704142
2;0.733173;169;0.1
2;0.802162;253;0.149704142
2;0.851775;338;0.2
2;0.849151;422;0.249704142
2;0.864811;507;0.3
2;0.881356;591;0.349704142
2;0.883813;676;0.4
2;0.899702;760;0.449704142
2;0.896825;844;0.499408284
2;0.912176;929;0.549704142
2;0.895372;1014;0.6
2;0.886228;1098;0.649704142
2;0.899796;1183;0.7
2;0.90224;1267;0.749704142
2;0.895582;1352;0.8
2;0.89022;1436;0.849704142
2;0.888662;1521;0.9
2;0.90239;1605;0.949704142
2;0.89767;1690;1
3;0.691441;84;0.049704142
3;0.757666;169;0.1
3;0.81459;253;0.149704142
3;0.817289;338;0.2
3;0.836181;422;0.249704142
3;0.867133;507;0.3
3;0.866534;591;0.349704142
3;0.87247;676;0.4
3;0.887352;760;0.449704142
3;0.88668;844;0.499408284
3;0.887776;929;0.549704142
3;0.894841;1014;0.6
3;0.8998;1098;0.649704142
3;0.895105;1183;0.7
3;0.895464;1267;0.749704142
3;0.903553;1352;0.8
3;0.901493;1436;0.849704142
3;0.89876;1521;0.9
3;0.890739;1605;0.949704142
3;0.893264;1690;1
4;0.756586;84;0.049704142
4;0.776053;169;0.1
4;0.796646;253;0.149704142
4;0.83351;338;0.2
4;0.873326;422;0.249704142
4;0.877083;507;0.3
4;0.875129;591;0.349704142
4;0.888889;676;0.4
4;0.902834;760;0.449704142
4;0.89881;844;0.499408284
4;0.895669;929;0.549704142
4;0.88978;1014;0.6
4;0.875622;1098;0.649704142
4;0.895522;1183;0.7
4;0.898083;1267;0.749704142
4;0.895005;1352;0.8
4;0.90316;1436;0.849704142
4;0.903808;1521;0.9
4;0.892276;1605;0.949704142
4;0.890031;1690;1
5;0.74789916;84;0.049704142
5;0.771458118;169;0.1
5;0.824870466;253;0.149704142
5;0.858018386;338;0.2
5;0.859737639;422;0.249704142
5;0.874;507;0.3
5;0.881906826;591;0.349704142
5;0.870351759;676;0.4
5;0.87636004;760;0.449704142
5;0.886956522;844;0.499408284
5;0.891393443;929;0.549704142
5;0.89025641;1014;0.6
5;0.895005097;1098;0.649704142
5;0.904810645;1183;0.7
5;0.893617021;1267;0.749704142
5;0.888657648;1352;0.8
5;0.907388137;1436;0.849704142
5;0.902584493;1521;0.9
5;0.90212766;1605;0.949704142
5;0.893485005;1690;1
6;0.72907489;84;0.049704142
6;0.788522848;169;0.1
6;0.830708661;253;0.149704142
6;0.849646821;338;0.2
6;0.867346939;422;0.249704142
6;0.877755511;507;0.3
6;0.895582329;591;0.349704142
6;0.883864337;676;0.4
6;0.900414938;760;0.449704142
6;0.895463511;844;0.499408284
6;0.901209677;929;0.549704142
6;0.896767466;1014;0.6
6;0.906560636;1098;0.649704142
6;0.89025641;1183;0.7
6;0.896480331;1267;0.749704142
6;0.900826446;1352;0.8
6;0.889121339;1436;0.849704142
6;0.886956522;1521;0.9
6;0.892929293;1605;0.949704142
6;0.896335079;1690;1
7;0.685314685;84;0.049704142
7;0.736842105;169;0.1
7;0.827586207;253;0.149704142
7;0.862985685;338;0.2
7;0.872318693;422;0.249704142
7;0.882828283;507;0.3
7;0.888888889;591;0.349704142
7;0.895372233;676;0.4
7;0.890424482;760;0.449704142
7;0.889787664;844;0.499408284
7;0.892339545;929;0.549704142
7;0.889344262;1014;0.6
7;0.895791583;1098;0.649704142
7;0.897959184;1183;0.7
7;0.902;1267;0.749704142
7;0.886812046;1352;0.8
7;0.904522613;1436;0.849704142
7;0.89698231;1521;0.9
7;0.895314058;1605;0.949704142
7;0.895582329;1690;1
8;0.751503006;84;0.049704142
8;0.809010774;169;0.1
8;0.826804124;253;0.149704142
8;0.837162837;338;0.2
8;0.861024033;422;0.249704142
8;0.862275449;507;0.3
8;0.873727088;591;0.349704142
8;0.892028254;676;0.4
8;0.895372233;760;0.449704142
8;0.897876643;844;0.499408284
8;0.899606299;929;0.549704142
8;0.893069307;1014;0.6
8;0.901209677;1098;0.649704142
8;0.901322482;1183;0.7
8;0.89669007;1267;0.749704142
8;0.902316213;1352;0.8
8;0.901639344;1436;0.849704142
8;0.895218718;1521;0.9
8;0.897876643;1605;0.949704142
8;0.894093686;1690;1
9;0.739934712;84;0.049704142
9;0.759656652;169;0.1
9;0.847803882;253;0.149704142
9;0.84893617;338;0.2
9;0.869207003;422;0.249704142
9;0.885853659;507;0.3
9;0.889990089;591;0.349704142
9;0.890020367;676;0.4
9;0.88667992;760;0.449704142
9;0.88241206;844;0.499408284
9;0.90367428;929;0.549704142
9;0.894308943;1014;0.6
9;0.883813307;1098;0.649704142
9;0.903807615;1183;0.7
9;0.899481865;1267;0.749704142
9;0.899100899;1352;0.8
9;0.904191617;1436;0.849704142
9;0.900716479;1521;0.9
9;0.891518738;1605;0.949704142
9;0.907258065;1690;1
