run_id;f1;number_of_samples;percentage_of_samples
0;0.822006;84;0.049704142
0;0.837607;169;0.1
0;0.829947;253;0.149704142
0;0.875399;338;0.2
0;0.877895;422;0.249704142
0;0.869476;507;0.3
0;0.880753;591;0.349704142
0;0.874104;676;0.4
0;0.893954;760;0.449704142
0;0.887029;844;0.499408284
0;0.889813;929;0.549704142
0;0.890496;1014;0.6
0;0.891213;1098;0.649704142
0;0.897308;1183;0.7
0;0.87751;1267;0.749704142
0;0.896982;1352;0.8
0;0.894325;1436;0.849704142
0;0.883144;1521;0.9
0;0.891129;1605;0.949704142
0;0.903292;1690;1
1;0.859719;84;0.049704142
1;0.855057;169;0.1
1;0.862986;253;0.149704142
1;0.870197;338;0.2
1;0.885892;422;0.249704142
1;0.895854;507;0.3
1;0.893264;591;0.349704142
1;0.88391;676;0.4
1;0.875256;760;0.449704142
1;0.89852;844;0.499408284
1;0.886831;929;0.549704142
1;0.897541;1014;0.6
1;0.896186;1098;0.649704142
1;0.892784;1183;0.7
1;0.900513;1267;0.749704142
1;0.893705;1352;0.8
1;0.895643;1436;0.849704142
1;0.894094;1521;0.9
1;0.889336;1605;0.949704142
1;0.89375;1690;1
2;0.841336;84;0.049704142
2;0.828961;169;0.1
2;0.856243;253;0.149704142
2;0.84345;338;0.2
2;0.856844;422;0.249704142
2;0.858012;507;0.3
2;0.852598;591;0.349704142
2;0.853608;676;0.4
2;0.885177;760;0.449704142
2;0.891837;844;0.499408284
2;0.89001;929;0.549704142
2;0.89876;1014;0.6
2;0.893082;1098;0.649704142
2;0.900716;1183;0.7
2;0.896834;1267;0.749704142
2;0.895706;1352;0.8
2;0.905966;1436;0.849704142
2;0.901639;1521;0.9
2;0.897959;1605;0.949704142
2;0.896208;1690;1
3;0.806867;84;0.049704142
3;0.855117;169;0.1
3;0.860914;253;0.149704142
3;0.876518;338;0.2
3;0.867704;422;0.249704142
3;0.876939;507;0.3
3;0.867804;591;0.349704142
3;0.868167;676;0.4
3;0.873118;760;0.449704142
3;0.877895;844;0.499408284
3;0.869927;929;0.549704142
3;0.883526;1014;0.6
3;0.880083;1098;0.649704142
3;0.892405;1183;0.7
3;0.88694;1267;0.749704142
3;0.887473;1352;0.8
3;0.89002;1436;0.849704142
3;0.886;1521;0.9
3;0.884656;1605;0.949704142
3;0.899683;1690;1
4;0.814433;84;0.049704142
4;0.84347;169;0.1
4;0.843096;253;0.149704142
4;0.855721;338;0.2
4;0.88335;422;0.249704142
4;0.882236;507;0.3
4;0.879188;591;0.349704142
4;0.885312;676;0.4
4;0.884576;760;0.449704142
4;0.884189;844;0.499408284
4;0.888664;929;0.549704142
4;0.882902;1014;0.6
4;0.902708;1098;0.649704142
4;0.894632;1183;0.7
4;0.90303;1267;0.749704142
4;0.902119;1352;0.8
4;0.900302;1436;0.849704142
4;0.906375;1521;0.9
4;0.891667;1605;0.949704142
4;0.897177;1690;1
5;0.802874743;84;0.049704142
5;0.853360489;169;0.1
5;0.871473354;253;0.149704142
5;0.876971609;338;0.2
5;0.894141829;422;0.249704142
5;0.883333333;507;0.3
5;0.879917184;591;0.349704142
5;0.892596455;676;0.4
5;0.891774892;760;0.449704142
5;0.87605042;844;0.499408284
5;0.875131165;929;0.549704142
5;0.886363636;1014;0.6
5;0.890063425;1098;0.649704142
5;0.891920252;1183;0.7
5;0.895615866;1267;0.749704142
5;0.89539749;1352;0.8
5;0.891326022;1436;0.849704142
5;0.887280248;1521;0.9
5;0.895361381;1605;0.949704142
5;0.883248731;1690;1
6;0.821390374;84;0.049704142
6;0.851405622;169;0.1
6;0.851626016;253;0.149704142
6;0.859198356;338;0.2
6;0.854450262;422;0.249704142
6;0.860061287;507;0.3
6;0.860786397;591;0.349704142
6;0.875518672;676;0.4
6;0.876683938;760;0.449704142
6;0.878661088;844;0.499408284
6;0.873469388;929;0.549704142
6;0.878504673;1014;0.6
6;0.878;1098;0.649704142
6;0.880658436;1183;0.7
6;0.892631579;1267;0.749704142
6;0.870389884;1352;0.8
6;0.877529286;1436;0.849704142
6;0.886576483;1521;0.9
6;0.889804325;1605;0.949704142
6;0.896335079;1690;1
7;0.824351297;84;0.049704142
7;0.847736626;169;0.1
7;0.854788877;253;0.149704142
7;0.860215054;338;0.2
7;0.866321244;422;0.249704142
7;0.864067439;507;0.3
7;0.88040201;591;0.349704142
7;0.872844828;676;0.4
7;0.872998933;760;0.449704142
7;0.877697842;844;0.499408284
7;0.887295082;929;0.549704142
7;0.875802998;1014;0.6
7;0.875912409;1098;0.649704142
7;0.890704801;1183;0.7
7;0.88334995;1267;0.749704142
7;0.882474227;1352;0.8
7;0.897043833;1436;0.849704142
7;0.903092784;1521;0.9
7;0.890495868;1605;0.949704142
7;0.887711864;1690;1
8;0.813835198;84;0.049704142
8;0.83701367;169;0.1
8;0.848549946;253;0.149704142
8;0.842754368;338;0.2
8;0.870466321;422;0.249704142
8;0.879007239;507;0.3
8;0.887550201;591;0.349704142
8;0.874747475;676;0.4
8;0.886409736;760;0.449704142
8;0.883143744;844;0.499408284
8;0.880976602;929;0.549704142
8;0.87539267;1014;0.6
8;0.88671875;1098;0.649704142
8;0.900826446;1183;0.7
8;0.901803607;1267;0.749704142
8;0.893442623;1352;0.8
8;0.902363823;1436;0.849704142
8;0.897832817;1521;0.9
8;0.900512821;1605;0.949704142
8;0.897384306;1690;1
9;0.824254882;84;0.049704142
9;0.84934277;169;0.1
9;0.868605817;253;0.149704142
9;0.868154158;338;0.2
9;0.876796715;422;0.249704142
9;0.87804878;507;0.3
9;0.869387755;591;0.349704142
9;0.87804878;676;0.4
9;0.880903491;760;0.449704142
9;0.890721649;844;0.499408284
9;0.893004115;929;0.549704142
9;0.884735202;1014;0.6
9;0.88024565;1098;0.649704142
9;0.893660532;1183;0.7
9;0.887295082;1267;0.749704142
9;0.88372093;1352;0.8
9;0.886315789;1436;0.849704142
9;0.888888889;1521;0.9
9;0.886850153;1605;0.949704142
9;0.898120673;1690;1
