run_id;f1;number_of_samples;percentage_of_samples
0;0.815951;84;0.049704142
0;0.834025;169;0.1
0;0.857143;253;0.149704142
0;0.867147;338;0.2
0;0.8666;422;0.249704142
0;0.876768;507;0.3
0;0.878447;591;0.349704142
0;0.88592;676;0.4
0;0.889117;760;0.449704142
0;0.891667;844;0.499408284
0;0.895299;929;0.549704142
0;0.897196;1014;0.6
0;0.901554;1098;0.649704142
0;0.911443;1183;0.7
0;0.888658;1267;0.749704142
0;0.89648;1352;0.8
0;0.894575;1436;0.849704142
0;0.895219;1521;0.9
0;0.887513;1605;0.949704142
0;0.893184;1690;1
1;0.818848;84;0.049704142
1;0.824615;169;0.1
1;0.855346;253;0.149704142
1;0.871227;338;0.2
1;0.874251;422;0.249704142
1;0.885177;507;0.3
1;0.876248;591;0.349704142
1;0.883534;676;0.4
1;0.884232;760;0.449704142
1;0.89605;844;0.499408284
1;0.894682;929;0.549704142
1;0.899288;1014;0.6
1;0.893661;1098;0.649704142
1;0.908524;1183;0.7
1;0.89959;1267;0.749704142
1;0.89703;1352;0.8
1;0.908909;1436;0.849704142
1;0.903808;1521;0.9
1;0.88434;1605;0.949704142
1;0.8875;1690;1
2;0.799601;84;0.049704142
2;0.854188;169;0.1
2;0.859813;253;0.149704142
2;0.880081;338;0.2
2;0.882773;422;0.249704142
2;0.88641;507;0.3
2;0.89234;591;0.349704142
2;0.890722;676;0.4
2;0.890269;760;0.449704142
2;0.891616;844;0.499408284
2;0.898785;929;0.549704142
2;0.889353;1014;0.6
2;0.899396;1098;0.649704142
2;0.893971;1183;0.7
2;0.884495;1267;0.749704142
2;0.897796;1352;0.8
2;0.887295;1436;0.849704142
2;0.893705;1521;0.9
2;0.890985;1605;0.949704142
2;0.904712;1690;1
3;0.780793;84;0.049704142
3;0.815135;169;0.1
3;0.834783;253;0.149704142
3;0.864594;338;0.2
3;0.869121;422;0.249704142
3;0.880977;507;0.3
3;0.877901;591;0.349704142
3;0.876827;676;0.4
3;0.88501;760;0.449704142
3;0.884411;844;0.499408284
3;0.897622;929;0.549704142
3;0.888655;1014;0.6
3;0.886291;1098;0.649704142
3;0.878099;1183;0.7
3;0.884454;1267;0.749704142
3;0.890947;1352;0.8
3;0.886454;1436;0.849704142
3;0.892996;1521;0.9
3;0.887047;1605;0.949704142
3;0.890774;1690;1
4;0.751046;84;0.049704142
4;0.821206;169;0.1
4;0.867347;253;0.149704142
4;0.87001;338;0.2
4;0.874873;422;0.249704142
4;0.876827;507;0.3
4;0.885655;591;0.349704142
4;0.880829;676;0.4
4;0.886831;760;0.449704142
4;0.889124;844;0.499408284
4;0.901235;929;0.549704142
4;0.895105;1014;0.6
4;0.896552;1098;0.649704142
4;0.890256;1183;0.7
4;0.895161;1267;0.749704142
4;0.902041;1352;0.8
4;0.90081;1436;0.849704142
4;0.898083;1521;0.9
4;0.894841;1605;0.949704142
4;0.88999;1690;1
5;0.787942;84;0.049704142
5;0.838912;169;0.1
5;0.850669;253;0.149704142
5;0.870276;338;0.2
5;0.876404;422;0.249704142
5;0.886831;507;0.3
5;0.876797;591;0.349704142
5;0.891892;676;0.4
5;0.893264;760;0.449704142
5;0.904366;844;0.499408284
5;0.893004;929;0.549704142
5;0.889583;1014;0.6
5;0.911111;1098;0.649704142
5;0.899502;1183;0.7
5;0.901408;1267;0.749704142
5;0.897716;1352;0.8
5;0.893224;1436;0.849704142
5;0.892748;1521;0.9
5;0.89901;1605;0.949704142
5;0.903553;1690;1
6;0.849094567;84;0.049704142
6;0.870762712;169;0.1
6;0.86163522;253;0.149704142
6;0.864593781;338;0.2
6;0.878661088;422;0.249704142
6;0.867219917;507;0.3
6;0.887975334;591;0.349704142
6;0.886203424;676;0.4
6;0.896969697;760;0.449704142
6;0.885654886;844;0.499408284
6;0.901144641;929;0.549704142
6;0.900414938;1014;0.6
6;0.891370558;1098;0.649704142
6;0.901522843;1183;0.7
6;0.887525562;1267;0.749704142
6;0.896480331;1352;0.8
6;0.890985325;1436;0.849704142
6;0.895615866;1521;0.9
6;0.894472362;1605;0.949704142
6;0.898167006;1690;1
7;0.830385016;84;0.049704142
7;0.865938431;169;0.1
7;0.858050847;253;0.149704142
7;0.873298429;338;0.2
7;0.881808839;422;0.249704142
7;0.887249737;507;0.3
7;0.892307692;591;0.349704142
7;0.898669396;676;0.4
7;0.884339816;760;0.449704142
7;0.89468196;844;0.499408284
7;0.893572181;929;0.549704142
7;0.906504065;1014;0.6
7;0.901921132;1098;0.649704142
7;0.906666667;1183;0.7
7;0.893305439;1267;0.749704142
7;0.886812046;1352;0.8
7;0.886532344;1436;0.849704142
7;0.888888889;1521;0.9
7;0.896622313;1605;0.949704142
7;0.887931034;1690;1
8;0.816580311;84;0.049704142
8;0.84439834;169;0.1
8;0.871635611;253;0.149704142
8;0.877192982;338;0.2
8;0.877593361;422;0.249704142
8;0.87654321;507;0.3
8;0.893796004;591;0.349704142
8;0.890481064;676;0.4
8;0.896049896;760;0.449704142
8;0.898969072;844;0.499408284
8;0.898340249;929;0.549704142
8;0.889804325;1014;0.6
8;0.917766497;1098;0.649704142
8;0.899100899;1183;0.7
8;0.895983522;1267;0.749704142
8;0.894164194;1352;0.8
8;0.904522613;1436;0.849704142
8;0.894901145;1521;0.9
8;0.909663866;1605;0.949704142
8;0.896842105;1690;1
9;0.826347305;84;0.049704142
9;0.825780463;169;0.1
9;0.848114169;253;0.149704142
9;0.847590954;338;0.2
9;0.859198356;422;0.249704142
9;0.879007239;507;0.3
9;0.890927625;591;0.349704142
9;0.890052356;676;0.4
9;0.890738814;760;0.449704142
9;0.887975334;844;0.499408284
9;0.898340249;929;0.549704142
9;0.89698231;1014;0.6
9;0.894259819;1098;0.649704142
9;0.893264249;1183;0.7
9;0.897959184;1267;0.749704142
9;0.908163265;1352;0.8
9;0.888888889;1436;0.849704142
9;0.895553257;1521;0.9
9;0.891836735;1605;0.949704142
9;0.895854398;1690;1
