run_id,f1,number_of_samples,percentage_of_samples
0,0.666667,21,0.04783599088838269
0,0.792079,43,0.0979498861047836
0,0.692308,65,0.1480637813211845
0,0.735849,87,0.19817767653758542
0,0.787879,109,0.24829157175398633
0,0.767857,131,0.2984054669703872
0,0.8,153,0.34851936218678814
0,0.831683,175,0.39863325740318906
0,0.815534,197,0.44874715261959
0,0.846154,219,0.4988610478359909
0,0.819048,241,0.5489749430523918
0,0.815534,263,0.5990888382687927
0,0.82,285,0.6492027334851936
0,0.792079,307,0.6993166287015945
0,0.838095,329,0.7494305239179955
0,0.803738,351,0.7995444191343963
0,0.8,373,0.8496583143507973
0,0.808081,395,0.8997722095671982
0,0.828283,417,0.9498861047835991
0,0.828283,438,0.9977220956719818
1,0.653465,21,0.04783599088838269
1,0.730769,43,0.0979498861047836
1,0.734694,65,0.1480637813211845
1,0.765957,87,0.19817767653758542
1,0.742268,109,0.24829157175398633
1,0.761905,131,0.2984054669703872
1,0.742268,153,0.34851936218678814
1,0.752294,175,0.39863325740318906
1,0.8,197,0.44874715261959
1,0.784314,219,0.4988610478359909
1,0.831683,241,0.5489749430523918
1,0.826923,263,0.5990888382687927
1,0.834951,285,0.6492027334851936
1,0.819048,307,0.6993166287015945
1,0.828283,329,0.7494305239179955
1,0.808081,351,0.7995444191343963
1,0.82243,373,0.8496583143507973
1,0.819048,395,0.8997722095671982
1,0.8,417,0.9498861047835991
1,0.811321,438,0.9977220956719818
2,0.647619,21,0.04783599088838269
2,0.699029,43,0.0979498861047836
2,0.747664,65,0.1480637813211845
2,0.735849,87,0.19817767653758542
2,0.722222,109,0.24829157175398633
2,0.796117,131,0.2984054669703872
2,0.848485,153,0.34851936218678814
2,0.826923,175,0.39863325740318906
2,0.834951,197,0.44874715261959
2,0.843137,219,0.4988610478359909
2,0.815534,241,0.5489749430523918
2,0.82,263,0.5990888382687927
2,0.803571,285,0.6492027334851936
2,0.830189,307,0.6993166287015945
2,0.811881,329,0.7494305239179955
2,0.803738,351,0.7995444191343963
2,0.843137,373,0.8496583143507973
2,0.826923,395,0.8997722095671982
2,0.8,417,0.9498861047835991
2,0.811321,438,0.9977220956719818
3,0.742857,21,0.04783599088838269
3,0.727273,43,0.0979498861047836
3,0.759259,65,0.1480637813211845
3,0.773585,87,0.19817767653758542
3,0.767677,109,0.24829157175398633
3,0.769231,131,0.2984054669703872
3,0.727273,153,0.34851936218678814
3,0.754717,175,0.39863325740318906
3,0.792079,197,0.44874715261959
3,0.795918,219,0.4988610478359909
3,0.784314,241,0.5489749430523918
3,0.834951,263,0.5990888382687927
3,0.819048,285,0.6492027334851936
3,0.819048,307,0.6993166287015945
3,0.792793,329,0.7494305239179955
3,0.823529,351,0.7995444191343963
3,0.803922,373,0.8496583143507973
3,0.815534,395,0.8997722095671982
3,0.803738,417,0.9498861047835991
3,0.803738,438,0.9977220956719818
4,0.62,21,0.04783599088838269
4,0.72381,43,0.0979498861047836
4,0.788462,65,0.1480637813211845
4,0.808511,87,0.19817767653758542
4,0.821053,109,0.24829157175398633
4,0.834951,131,0.2984054669703872
4,0.834951,153,0.34851936218678814
4,0.831683,175,0.39863325740318906
4,0.796296,197,0.44874715261959
4,0.84,219,0.4988610478359909
4,0.807692,241,0.5489749430523918
4,0.811321,263,0.5990888382687927
4,0.77551,285,0.6492027334851936
4,0.851485,307,0.6993166287015945
4,0.788991,329,0.7494305239179955
4,0.811321,351,0.7995444191343963
4,0.823529,373,0.8496583143507973
4,0.826923,395,0.8997722095671982
4,0.796296,417,0.9498861047835991
4,0.826923,438,0.9977220956719818
5,0.622642,21,0.04783599088838269
5,0.704762,43,0.0979498861047836
5,0.718447,65,0.1480637813211845
5,0.752475,87,0.19817767653758542
5,0.8,109,0.24829157175398633
5,0.82,131,0.2984054669703872
5,0.808081,153,0.34851936218678814
5,0.8,175,0.39863325740318906
5,0.785714,197,0.44874715261959
5,0.82243,219,0.4988610478359909
5,0.803738,241,0.5489749430523918
5,0.826923,263,0.5990888382687927
5,0.815534,285,0.6492027334851936
5,0.819048,307,0.6993166287015945
5,0.796296,329,0.7494305239179955
5,0.796296,351,0.7995444191343963
5,0.82,373,0.8496583143507973
5,0.831683,395,0.8997722095671982
5,0.807339,417,0.9498861047835991
5,0.843137,438,0.9977220956719818
6,0.666667,21,0.04783599088838269
6,0.715596,43,0.0979498861047836
6,0.754717,65,0.1480637813211845
6,0.752294,87,0.19817767653758542
6,0.754717,109,0.24829157175398633
6,0.8,131,0.2984054669703872
6,0.851485,153,0.34851936218678814
6,0.803738,175,0.39863325740318906
6,0.823529,197,0.44874715261959
6,0.846154,219,0.4988610478359909
6,0.838095,241,0.5489749430523918
6,0.819048,263,0.5990888382687927
6,0.816327,285,0.6492027334851936
6,0.796296,307,0.6993166287015945
6,0.804124,329,0.7494305239179955
6,0.815534,351,0.7995444191343963
6,0.834951,373,0.8496583143507973
6,0.803738,395,0.8997722095671982
6,0.8,417,0.9498861047835991
6,0.796296,438,0.9977220956719818
7,0.66087,21,0.04783599088838269
7,0.740741,43,0.0979498861047836
7,0.765217,65,0.1480637813211845
7,0.765217,87,0.19817767653758542
7,0.75,109,0.24829157175398633
7,0.761905,131,0.2984054669703872
7,0.781818,153,0.34851936218678814
7,0.767857,175,0.39863325740318906
7,0.811321,197,0.44874715261959
7,0.819048,219,0.4988610478359909
7,0.843137,241,0.5489749430523918
7,0.826923,263,0.5990888382687927
7,0.826923,285,0.6492027334851936
7,0.796296,307,0.6993166287015945
7,0.811321,329,0.7494305239179955
7,0.831683,351,0.7995444191343963
7,0.8,373,0.8496583143507973
7,0.815534,395,0.8997722095671982
7,0.814815,417,0.9498861047835991
7,0.826923,438,0.9977220956719818
8,0.695652,21,0.04783599088838269
8,0.660377,43,0.0979498861047836
8,0.679612,65,0.1480637813211845
8,0.740741,87,0.19817767653758542
8,0.769231,109,0.24829157175398633
8,0.764706,131,0.2984054669703872
8,0.776699,153,0.34851936218678814
8,0.816327,175,0.39863325740318906
8,0.811321,197,0.44874715261959
8,0.851485,219,0.4988610478359909
8,0.843137,241,0.5489749430523918
8,0.843137,263,0.5990888382687927
8,0.84,285,0.6492027334851936
8,0.803738,307,0.6993166287015945
8,0.815534,329,0.7494305239179955
8,0.807692,351,0.7995444191343963
8,0.811321,373,0.8496583143507973
8,0.815534,395,0.8997722095671982
8,0.816327,417,0.9498861047835991
8,0.823529,438,0.9977220956719818
9,0.653465,21,0.04783599088838269
9,0.720721,43,0.0979498861047836
9,0.742857,65,0.1480637813211845
9,0.784314,87,0.19817767653758542
9,0.816327,109,0.24829157175398633
9,0.795918,131,0.2984054669703872
9,0.826923,153,0.34851936218678814
9,0.819048,175,0.39863325740318906
9,0.811881,197,0.44874715261959
9,0.843137,219,0.4988610478359909
9,0.834951,241,0.5489749430523918
9,0.851485,263,0.5990888382687927
9,0.819048,285,0.6492027334851936
9,0.84,307,0.6993166287015945
9,0.823529,329,0.7494305239179955
9,0.788991,351,0.7995444191343963
9,0.82,373,0.8496583143507973
9,0.811321,395,0.8997722095671982
9,0.843137,417,0.9498861047835991
9,0.8,438,0.9977220956719818
