run_id,f1,number_of_samples,percentage_of_samples
0,0.730435,21,0.04783599088838269
0,0.754717,43,0.0979498861047836
0,0.738739,65,0.1480637813211845
0,0.706897,87,0.19817767653758542
0,0.779661,109,0.24829157175398633
0,0.739496,131,0.2984054669703872
0,0.826923,153,0.34851936218678814
0,0.84,175,0.39863325740318906
0,0.851485,197,0.44874715261959
0,0.843137,219,0.4988610478359909
0,0.843137,241,0.5489749430523918
0,0.834951,263,0.5990888382687927
0,0.846154,285,0.6492027334851936
0,0.811321,307,0.6993166287015945
0,0.8,329,0.7494305239179955
0,0.811881,351,0.7995444191343963
0,0.828283,373,0.8496583143507973
0,0.834951,395,0.8997722095671982
0,0.811321,417,0.9498861047835991
0,0.814815,438,0.9977220956719818
1,0.759259,21,0.04783599088838269
1,0.738739,43,0.0979498861047836
1,0.738739,65,0.1480637813211845
1,0.8,87,0.19817767653758542
1,0.741379,109,0.24829157175398633
1,0.796296,131,0.2984054669703872
1,0.767857,153,0.34851936218678814
1,0.819048,175,0.39863325740318906
1,0.834951,197,0.44874715261959
1,0.846154,219,0.4988610478359909
1,0.841121,241,0.5489749430523918
1,0.834951,263,0.5990888382687927
1,0.851485,285,0.6492027334851936
1,0.807692,307,0.6993166287015945
1,0.781818,329,0.7494305239179955
1,0.781818,351,0.7995444191343963
1,0.807692,373,0.8496583143507973
1,0.803738,395,0.8997722095671982
1,0.843137,417,0.9498861047835991
1,0.815534,438,0.9977220956719818
2,0.690909,21,0.04783599088838269
2,0.703704,43,0.0979498861047836
2,0.754717,65,0.1480637813211845
2,0.756757,87,0.19817767653758542
2,0.754717,109,0.24829157175398633
2,0.792079,131,0.2984054669703872
2,0.761905,153,0.34851936218678814
2,0.811321,175,0.39863325740318906
2,0.834951,197,0.44874715261959
2,0.851485,219,0.4988610478359909
2,0.807692,241,0.5489749430523918
2,0.823529,263,0.5990888382687927
2,0.770642,285,0.6492027334851936
2,0.8,307,0.6993166287015945
2,0.8,329,0.7494305239179955
2,0.807692,351,0.7995444191343963
2,0.826923,373,0.8496583143507973
2,0.82243,395,0.8997722095671982
2,0.851485,417,0.9498861047835991
2,0.808081,438,0.9977220956719818
3,0.700855,21,0.04783599088838269
3,0.718447,43,0.0979498861047836
3,0.777778,65,0.1480637813211845
3,0.815534,87,0.19817767653758542
3,0.823529,109,0.24829157175398633
