run_id,f1,number_of_samples,percentage_of_samples
0,0.680851,21,0.04783599088838269
0,0.722222,43,0.0979498861047836
0,0.697248,65,0.1480637813211845
0,0.709091,87,0.19817767653758542
0,0.75,109,0.24829157175398633
0,0.747967,131,0.2984054669703872
0,0.761905,153,0.34851936218678814
0,0.761905,175,0.39863325740318906
0,0.773585,197,0.44874715261959
0,0.788991,219,0.4988610478359909
0,0.819048,241,0.5489749430523918
0,0.831683,263,0.5990888382687927
0,0.838095,285,0.6492027334851936
0,0.831683,307,0.6993166287015945
0,0.823529,329,0.7494305239179955
0,0.838095,351,0.7995444191343963
0,0.838095,373,0.8496583143507973
0,0.819048,395,0.8997722095671982
0,0.831683,417,0.9498861047835991
0,0.834951,438,0.9977220956719818
1,0.672414,21,0.04783599088838269
1,0.68,43,0.0979498861047836
1,0.647059,65,0.1480637813211845
1,0.697248,87,0.19817767653758542
1,0.679245,109,0.24829157175398633
1,0.72381,131,0.2984054669703872
1,0.742857,153,0.34851936218678814
1,0.759259,175,0.39863325740318906
1,0.777778,197,0.44874715261959
1,0.777778,219,0.4988610478359909
1,0.784314,241,0.5489749430523918
1,0.796296,263,0.5990888382687927
1,0.803738,285,0.6492027334851936
1,0.803738,307,0.6993166287015945
1,0.831683,329,0.7494305239179955
1,0.807339,351,0.7995444191343963
1,0.808081,373,0.8496583143507973
1,0.811321,395,0.8997722095671982
1,0.834951,417,0.9498861047835991
1,0.84,438,0.9977220956719818
2,0.702128,21,0.04783599088838269
2,0.722222,43,0.0979498861047836
2,0.733945,65,0.1480637813211845
2,0.737864,87,0.19817767653758542
2,0.711538,109,0.24829157175398633
2,0.730769,131,0.2984054669703872
2,0.752475,153,0.34851936218678814
2,0.795918,175,0.39863325740318906
2,0.814815,197,0.44874715261959
2,0.8,219,0.4988610478359909
2,0.8,241,0.5489749430523918
2,0.811881,263,0.5990888382687927
2,0.772277,285,0.6492027334851936
2,0.803738,307,0.6993166287015945
2,0.788991,329,0.7494305239179955
2,0.772277,351,0.7995444191343963
2,0.785047,373,0.8496583143507973
2,0.773585,395,0.8997722095671982
2,0.82,417,0.9498861047835991
2,0.816327,438,0.9977220956719818
3,0.601942,21,0.04783599088838269
3,0.727273,43,0.0979498861047836
3,0.699029,65,0.1480637813211845
3,0.715596,87,0.19817767653758542
3,0.752475,109,0.24829157175398633
3,0.747664,131,0.2984054669703872
3,0.78,153,0.34851936218678814
3,0.808081,175,0.39863325740318906
3,0.8,197,0.44874715261959
3,0.784314,219,0.4988610478359909
3,0.803922,241,0.5489749430523918
3,0.784314,263,0.5990888382687927
3,0.795918,285,0.6492027334851936
3,0.792079,307,0.6993166287015945
3,0.796117,329,0.7494305239179955
3,0.796117,351,0.7995444191343963
3,0.773585,373,0.8496583143507973
3,0.772277,395,0.8997722095671982
3,0.8,417,0.9498861047835991
3,0.834951,438,0.9977220956719818
4,0.683333,21,0.04783599088838269
4,0.684685,43,0.0979498861047836
4,0.689655,65,0.1480637813211845
4,0.696429,87,0.19817767653758542
4,0.719298,109,0.24829157175398633
4,0.711864,131,0.2984054669703872
4,0.701754,153,0.34851936218678814
4,0.77193,175,0.39863325740318906
4,0.740741,197,0.44874715261959
4,0.728814,219,0.4988610478359909
4,0.745455,241,0.5489749430523918
4,0.761062,263,0.5990888382687927
4,0.774775,285,0.6492027334851936
4,0.792793,307,0.6993166287015945
4,0.811321,329,0.7494305239179955
4,0.792453,351,0.7995444191343963
4,0.792453,373,0.8496583143507973
4,0.803738,395,0.8997722095671982
4,0.830189,417,0.9498861047835991
4,0.811321,438,0.9977220956719818
5,0.590476,21,0.04783599088838269
5,0.660194,43,0.0979498861047836
5,0.654867,65,0.1480637813211845
5,0.747826,87,0.19817767653758542
5,0.77193,109,0.24829157175398633
5,0.792793,131,0.2984054669703872
5,0.781818,153,0.34851936218678814
5,0.788991,175,0.39863325740318906
5,0.781818,197,0.44874715261959
5,0.778761,219,0.4988610478359909
5,0.770642,241,0.5489749430523918
5,0.781818,263,0.5990888382687927
5,0.767857,285,0.6492027334851936
5,0.767857,307,0.6993166287015945
5,0.778761,329,0.7494305239179955
5,0.796296,351,0.7995444191343963
5,0.807339,373,0.8496583143507973
5,0.796296,395,0.8997722095671982
5,0.803922,417,0.9498861047835991
5,0.862745,438,0.9977220956719818
6,0.684211,21,0.04783599088838269
6,0.727273,43,0.0979498861047836
6,0.754386,65,0.1480637813211845
6,0.754386,87,0.19817767653758542
6,0.792793,109,0.24829157175398633
6,0.756757,131,0.2984054669703872
6,0.774775,153,0.34851936218678814
6,0.792453,175,0.39863325740318906
6,0.792453,197,0.44874715261959
6,0.796296,219,0.4988610478359909
6,0.754717,241,0.5489749430523918
6,0.788991,263,0.5990888382687927
6,0.781818,285,0.6492027334851936
6,0.756757,307,0.6993166287015945
6,0.788991,329,0.7494305239179955
6,0.769231,351,0.7995444191343963
6,0.815534,373,0.8496583143507973
6,0.843137,395,0.8997722095671982
6,0.803738,417,0.9498861047835991
6,0.804124,438,0.9977220956719818
7,0.715596,21,0.04783599088838269
7,0.769231,43,0.0979498861047836
7,0.773585,65,0.1480637813211845
7,0.803922,87,0.19817767653758542
7,0.811881,109,0.24829157175398633
7,0.8,131,0.2984054669703872
7,0.811881,153,0.34851936218678814
7,0.819048,175,0.39863325740318906
7,0.788991,197,0.44874715261959
7,0.819048,219,0.4988610478359909
7,0.834951,241,0.5489749430523918
7,0.819048,263,0.5990888382687927
7,0.851485,285,0.6492027334851936
7,0.834951,307,0.6993166287015945
7,0.826923,329,0.7494305239179955
7,0.807692,351,0.7995444191343963
7,0.804124,373,0.8496583143507973
7,0.826923,395,0.8997722095671982
7,0.796296,417,0.9498861047835991
7,0.796296,438,0.9977220956719818
8,0.690909,21,0.04783599088838269
8,0.737864,43,0.0979498861047836
8,0.747475,65,0.1480637813211845
8,0.733945,87,0.19817767653758542
8,0.75,109,0.24829157175398633
8,0.742857,131,0.2984054669703872
8,0.75,153,0.34851936218678814
8,0.735043,175,0.39863325740318906
8,0.767677,197,0.44874715261959
8,0.8,219,0.4988610478359909
8,0.796296,241,0.5489749430523918
8,0.811321,263,0.5990888382687927
8,0.819048,285,0.6492027334851936
8,0.815534,307,0.6993166287015945
8,0.834951,329,0.7494305239179955
8,0.815534,351,0.7995444191343963
8,0.803738,373,0.8496583143507973
8,0.819048,395,0.8997722095671982
8,0.785714,417,0.9498861047835991
8,0.826923,438,0.9977220956719818
9,0.65,21,0.04783599088838269
9,0.605505,43,0.0979498861047836
9,0.637931,65,0.1480637813211845
9,0.707965,87,0.19817767653758542
9,0.737864,109,0.24829157175398633
9,0.754717,131,0.2984054669703872
9,0.766355,153,0.34851936218678814
9,0.780952,175,0.39863325740318906
9,0.788462,197,0.44874715261959
9,0.788991,219,0.4988610478359909
9,0.78,241,0.5489749430523918
9,0.766355,263,0.5990888382687927
9,0.810811,285,0.6492027334851936
9,0.807339,307,0.6993166287015945
9,0.808081,329,0.7494305239179955
9,0.796296,351,0.7995444191343963
9,0.823529,373,0.8496583143507973
9,0.8,395,0.8997722095671982
9,0.803922,417,0.9498861047835991
