run_id,f1,number_of_samples,percentage_of_samples
0,0.728972,21,0.04783599088838269
0,0.71028,43,0.0979498861047836
0,0.71028,65,0.1480637813211845
0,0.761905,87,0.19817767653758542
0,0.72549,109,0.24829157175398633
0,0.733945,131,0.2984054669703872
0,0.780952,153,0.34851936218678814
0,0.742857,175,0.39863325740318906
0,0.780952,197,0.44874715261959
0,0.811881,219,0.4988610478359909
0,0.8,241,0.5489749430523918
0,0.811321,263,0.5990888382687927
0,0.803922,285,0.6492027334851936
0,0.803922,307,0.6993166287015945
0,0.811321,329,0.7494305239179955
0,0.803738,351,0.7995444191343963
0,0.784314,373,0.8496583143507973
0,0.808081,395,0.8997722095671982
0,0.796296,417,0.9498861047835991
0,0.796296,438,0.9977220956719818
1,0.742857,21,0.04783599088838269
1,0.719298,43,0.0979498861047836
1,0.689655,65,0.1480637813211845
1,0.745098,87,0.19817767653758542
1,0.752294,109,0.24829157175398633
1,0.752294,131,0.2984054669703872
1,0.773585,153,0.34851936218678814
1,0.776699,175,0.39863325740318906
1,0.740741,197,0.44874715261959
1,0.776699,219,0.4988610478359909
1,0.788991,241,0.5489749430523918
1,0.803738,263,0.5990888382687927
1,0.777778,285,0.6492027334851936
1,0.838095,307,0.6993166287015945
1,0.819048,329,0.7494305239179955
1,0.77551,351,0.7995444191343963
1,0.811321,373,0.8496583143507973
1,0.803738,395,0.8997722095671982
1,0.803738,417,0.9498861047835991
1,0.8,438,0.9977220956719818
2,0.666667,21,0.04783599088838269
2,0.722222,43,0.0979498861047836
2,0.725664,65,0.1480637813211845
2,0.725664,87,0.19817767653758542
2,0.738739,109,0.24829157175398633
2,0.715596,131,0.2984054669703872
2,0.767857,153,0.34851936218678814
2,0.741379,175,0.39863325740318906
2,0.778761,197,0.44874715261959
2,0.796296,219,0.4988610478359909
2,0.78,241,0.5489749430523918
2,0.792793,263,0.5990888382687927
2,0.811321,285,0.6492027334851936
2,0.826923,307,0.6993166287015945
2,0.826923,329,0.7494305239179955
2,0.770642,351,0.7995444191343963
2,0.803738,373,0.8496583143507973
2,0.823529,395,0.8997722095671982
2,0.803738,417,0.9498861047835991
2,0.796296,438,0.9977220956719818
3,0.727273,21,0.04783599088838269
3,0.72549,43,0.0979498861047836
3,0.711538,65,0.1480637813211845
3,0.792079,87,0.19817767653758542
3,0.803922,109,0.24829157175398633
3,0.780952,131,0.2984054669703872
3,0.796117,153,0.34851936218678814
3,0.8,175,0.39863325740318906
3,0.819048,197,0.44874715261959
3,0.8,219,0.4988610478359909
3,0.838095,241,0.5489749430523918
3,0.831683,263,0.5990888382687927
3,0.823529,285,0.6492027334851936
3,0.826923,307,0.6993166287015945
3,0.826923,329,0.7494305239179955
3,0.819048,351,0.7995444191343963
3,0.819048,373,0.8496583143507973
3,0.807692,395,0.8997722095671982
3,0.811321,417,0.9498861047835991
3,0.819048,438,0.9977220956719818
4,0.693069,21,0.04783599088838269
4,0.714286,43,0.0979498861047836
4,0.680412,65,0.1480637813211845
4,0.774775,87,0.19817767653758542
4,0.718447,109,0.24829157175398633
4,0.774775,131,0.2984054669703872
4,0.796296,153,0.34851936218678814
4,0.796117,175,0.39863325740318906
4,0.819048,197,0.44874715261959
4,0.788991,219,0.4988610478359909
4,0.826923,241,0.5489749430523918
4,0.815534,263,0.5990888382687927
4,0.788462,285,0.6492027334851936
4,0.788991,307,0.6993166287015945
4,0.826923,329,0.7494305239179955
4,0.811321,351,0.7995444191343963
4,0.788991,373,0.8496583143507973
4,0.834951,395,0.8997722095671982
4,0.826923,417,0.9498861047835991
4,0.819048,438,0.9977220956719818
5,0.660194,21,0.04783599088838269
5,0.636364,43,0.0979498861047836
5,0.633333,65,0.1480637813211845
5,0.7,87,0.19817767653758542
5,0.719298,109,0.24829157175398633
5,0.761062,131,0.2984054669703872
5,0.792453,153,0.34851936218678814
5,0.774775,175,0.39863325740318906
5,0.785047,197,0.44874715261959
5,0.826923,219,0.4988610478359909
5,0.788991,241,0.5489749430523918
5,0.834951,263,0.5990888382687927
5,0.781818,285,0.6492027334851936
5,0.781818,307,0.6993166287015945
5,0.815534,329,0.7494305239179955
5,0.803738,351,0.7995444191343963
5,0.815534,373,0.8496583143507973
5,0.819048,395,0.8997722095671982
5,0.803738,417,0.9498861047835991
5,0.808081,438,0.9977220956719818
6,0.660194,21,0.04783599088838269
6,0.700855,43,0.0979498861047836
6,0.730435,65,0.1480637813211845
6,0.766355,87,0.19817767653758542
6,0.747664,109,0.24829157175398633
6,0.765217,131,0.2984054669703872
6,0.770642,153,0.34851936218678814
6,0.796296,175,0.39863325740318906
6,0.815534,197,0.44874715261959
6,0.819048,219,0.4988610478359909
6,0.826923,241,0.5489749430523918
6,0.819048,263,0.5990888382687927
6,0.815534,285,0.6492027334851936
6,0.811321,307,0.6993166287015945
6,0.826923,329,0.7494305239179955
6,0.803738,351,0.7995444191343963
6,0.8,373,0.8496583143507973
6,0.792453,395,0.8997722095671982
6,0.811321,417,0.9498861047835991
6,0.792793,438,0.9977220956719818
7,0.622642,21,0.04783599088838269
7,0.683761,43,0.0979498861047836
7,0.672131,65,0.1480637813211845
7,0.732143,87,0.19817767653758542
7,0.709091,109,0.24829157175398633
7,0.745455,131,0.2984054669703872
7,0.761905,153,0.34851936218678814
7,0.773585,175,0.39863325740318906
7,0.735849,197,0.44874715261959
7,0.764706,219,0.4988610478359909
7,0.788991,241,0.5489749430523918
7,0.811321,263,0.5990888382687927
7,0.826923,285,0.6492027334851936
7,0.811321,307,0.6993166287015945
7,0.826923,329,0.7494305239179955
7,0.796117,351,0.7995444191343963
7,0.811321,373,0.8496583143507973
7,0.796296,395,0.8997722095671982
7,0.816327,417,0.9498861047835991
7,0.8,438,0.9977220956719818
8,0.696429,21,0.04783599088838269
8,0.761905,43,0.0979498861047836
8,0.766355,65,0.1480637813211845
8,0.778761,87,0.19817767653758542
8,0.773585,109,0.24829157175398633
8,0.785714,131,0.2984054669703872
8,0.77193,153,0.34851936218678814
8,0.77551,175,0.39863325740318906
8,0.778761,197,0.44874715261959
8,0.787879,219,0.4988610478359909
8,0.811881,241,0.5489749430523918
8,0.819048,263,0.5990888382687927
8,0.843137,285,0.6492027334851936
8,0.826923,307,0.6993166287015945
8,0.803738,329,0.7494305239179955
8,0.788991,351,0.7995444191343963
8,0.82,373,0.8496583143507973
8,0.796296,395,0.8997722095671982
8,0.811321,417,0.9498861047835991
8,0.807692,438,0.9977220956719818
9,0.636364,21,0.04783599088838269
9,0.761062,43,0.0979498861047836
9,0.763636,65,0.1480637813211845
9,0.742857,87,0.19817767653758542
9,0.742857,109,0.24829157175398633
9,0.761062,131,0.2984054669703872
9,0.767677,153,0.34851936218678814
9,0.834951,175,0.39863325740318906
9,0.788462,197,0.44874715261959
9,0.838095,219,0.4988610478359909
9,0.823529,241,0.5489749430523918
9,0.838095,263,0.5990888382687927
9,0.826923,285,0.6492027334851936
9,0.826923,307,0.6993166287015945
9,0.826923,329,0.7494305239179955
9,0.788991,351,0.7995444191343963
9,0.823529,373,0.8496583143507973
9,0.819048,395,0.8997722095671982
9,0.803738,417,0.9498861047835991
9,0.815534,438,0.9977220956719818
