Loss,f1,number_of_samples,percentage_of_samples
0.01650019131031715,0.41221374045801523,100,0.09803921568627451
0.01371749119910722,0.44015444015444005,200,0.19607843137254902
0.013430025738974413,0.44696969696969696,300,0.29411764705882354
0.01345461158780381,0.41434262948207173,400,0.39215686274509803
0.01352919704772325,0.47191011235955055,500,0.49019607843137253
0.013361778478914252,0.3786008230452675,600,0.5882352941176471
0.013373096751618303,0.39024390243902435,700,0.6862745098039216
0.013493081600043096,0.371900826446281,800,0.7843137254901961
0.01371699894985391,0.3651452282157676,900,0.8823529411764706
0.014366947858232178,0.2844444444444444,1000,0.9803921568627451
