Loss,f1,number_of_samples,percentage_of_samples
0.03186262175029911,0.23469387755102042,100,0.05917159763313609
0.023481974225861076,0.3218390804597701,200,0.11834319526627218
0.02123490540885969,0.38945827232796487,300,0.17751479289940827
0.020547350622056162,0.449438202247191,400,0.23668639053254437
0.020038284422994098,0.39461883408071746,500,0.2958579881656805
0.019555215532069698,0.35625,600,0.35502958579881655
0.0197045883636319,0.26057529610829105,700,0.41420118343195267
0.01993159016402548,0.23958333333333337,800,0.47337278106508873
0.020094032015870598,0.34285714285714286,900,0.5325443786982249
0.0207583190058358,0.1873873873873874,1000,0.591715976331361
0.020984291064772096,0.4821192052980133,1100,0.650887573964497
0.0222553259895101,0.0981132075471698,1200,0.7100591715976331
0.02130798755473841,0.16333938294010888,1300,0.7692307692307693
0.02088971814715906,0.2474576271186441,1400,0.8284023668639053
0.021197364627904093,0.21328671328671328,1500,0.8875739644970414
0.021181141331052297,0.22945205479452058,1600,0.9467455621301775
