Loss,f1,number_of_samples,percentage_of_samples
0.1691449336707592,0.7315789473684211,51,0.05
0.17951040156185627,0.7403598971722365,102,0.1
0.16288961376994848,0.7368421052631579,153,0.15
0.1840054176747799,0.7172774869109948,204,0.2
0.18931585997343064,0.746341463414634,254,0.24901960784313726
0.18861863762140274,0.7549019607843137,306,0.3
0.17104725241661073,0.7349081364829396,357,0.35
0.17974220216274261,0.7467362924281984,408,0.4
0.1540331609547138,0.7708333333333333,458,0.44901960784313727
0.1608988992869854,0.765498652291105,509,0.49901960784313726
0.18045666068792343,0.7969543147208121,561,0.55
0.13520908132195472,0.7956403269754767,612,0.6
0.20418853610754012,0.7857142857142857,663,0.65
0.15327343121170997,0.8153846153846154,714,0.7
0.14261010885238648,0.8146214099216711,765,0.75
0.14647157713770867,0.8101265822784809,816,0.8
0.14558825492858887,0.8181818181818181,867,0.85
0.13418425396084785,0.8021108179419524,918,0.9
0.12943828478455544,0.8203753351206434,969,0.95
0.12776242420077324,0.8062015503875968,1020,1.0
