Loss,f1,number_of_samples,percentage_of_samples
0.24314647311499962,0.6978021978021978,51,0.05
0.23089063425625986,0.6834733893557424,102,0.1
0.19411830704969665,0.7222222222222223,153,0.15
0.18311620232028267,0.7380281690140846,204,0.2
0.21043835008943765,0.7446808510638298,254,0.24901960784313726
0.16834398115558238,0.7325581395348837,306,0.3
0.17419832610175945,0.7409326424870465,357,0.35
0.15430781183143458,0.7734806629834253,408,0.4
0.1833575864050848,0.7486910994764396,458,0.44901960784313727
0.1605711083781595,0.7988980716253443,509,0.49901960784313726
0.14701340266037732,0.7989130434782609,561,0.55
0.17708641742744172,0.8,612,0.6
0.18335770850535482,0.7720207253886011,663,0.65
0.16049076504229257,0.7866323907455013,714,0.7
0.16454025953620052,0.7908163265306123,765,0.75
0.1652102078854417,0.7847411444141689,816,0.8
0.1486367965505148,0.7878787878787878,867,0.85
0.152096473883527,0.8010610079575596,918,0.9
0.13218468755561238,0.8010752688172044,969,0.95
0.15539202901224294,0.7650273224043715,1020,1.0
