Loss,f1,number_of_samples,percentage_of_samples
0.2239980474114418,0.6666666666666666,51,0.05
0.22532033175230026,0.7101449275362319,102,0.1
0.17466727644205093,0.7310704960835509,153,0.15
0.20404016971588135,0.7684478371501272,204,0.2
0.19405482709407806,0.769620253164557,254,0.24901960784313726
0.17423271387815475,0.7936507936507937,306,0.3
0.19241946563124657,0.8049999999999999,357,0.35
0.19392237439751625,0.7761194029850745,408,0.4
0.1837436892092228,0.7890818858560794,458,0.44901960784313727
0.16530877724289894,0.8021108179419524,509,0.49901960784313726
0.15591959655284882,0.8043478260869565,561,0.55
0.17671478167176247,0.7839195979899498,612,0.6
0.15744345635175705,0.7967914438502673,663,0.65
0.15766022354364395,0.8083989501312336,714,0.7
0.1510961540043354,0.8020565552699229,765,0.75
0.1553611159324646,0.8073878627968337,816,0.8
0.1845347061753273,0.785,867,0.85
0.15541916340589523,0.7883597883597883,918,0.9
0.1690247356891632,0.7885117493472585,969,0.95
0.1596442423760891,0.803191489361702,1020,1.0
