Loss,f1,number_of_samples,percentage_of_samples
0.5459572521292351,0.7009345794392523,84,0.04970414201183432
0.41088949821212073,0.7486278814489572,169,0.1
0.2949928662062369,0.8445807770961146,253,0.14970414201183432
0.31696548084305093,0.8298086606243706,338,0.2
0.25717175840823486,0.8330019880715707,422,0.24970414201183433
0.2486991394226524,0.8439646712463199,507,0.3
0.27620311276140536,0.8142201834862385,591,0.3497041420118343
0.20764327891678971,0.8637274549098196,676,0.4
0.18396459088068118,0.8608870967741936,760,0.44970414201183434
0.1741129380481487,0.8651911468812876,844,0.49940828402366866
0.18651087925007398,0.8827160493827161,929,0.5497041420118344
0.1754098736935041,0.8757763975155279,1014,0.6
0.1797491880133748,0.8623481781376519,1098,0.6497041420118344
0.17386735738678413,0.8519269776876268,1183,0.7
0.17560276930982416,0.8507614213197968,1267,0.7497041420118343
0.15783127227967436,0.8678861788617885,1352,0.8
0.16882215889001434,0.8659574468085107,1436,0.8497041420118343
0.1766097709875215,0.8586497890295358,1521,0.9
0.17462759143249554,0.8580576307363927,1605,0.9497041420118343
0.18649478138170458,0.8367149758454104,1690,1.0
