Loss,f1,number_of_samples,percentage_of_samples
0.4055963313350311,0.7776628748707342,84,0.04970414201183432
0.3809492949109811,0.7935135135135136,169,0.1
0.4266309756785631,0.6783042394014962,253,0.14970414201183432
0.38601651021207756,0.7793633369923161,338,0.2
0.2821702082426502,0.8381909547738693,422,0.24970414201183433
0.2813382516973294,0.8233009708737864,507,0.3
0.2695867930753873,0.8391038696537678,591,0.3497041420118343
0.20517731511678833,0.8693009118541034,676,0.4
0.19690599525347352,0.850251256281407,760,0.44970414201183434
0.18772177842374033,0.8574257425742574,844,0.49940828402366866
0.2186580581877094,0.867237687366167,929,0.5497041420118344
0.18574906061761653,0.8747474747474747,1014,0.6
0.1740244893500438,0.8765432098765432,1098,0.6497041420118344
0.18682139151944563,0.8810020876826722,1183,0.7
0.18277351844769257,0.8674443266171792,1267,0.7497041420118343
0.1911990248526518,0.8689516129032258,1352,0.8
0.19748195819556713,0.850210970464135,1436,0.8497041420118343
0.15915557025716856,0.8819226750261233,1521,0.9
0.1621803634155255,0.8711288711288712,1605,0.9497041420118343
0.15877568281184024,0.8790746582544691,1690,1.0
