Loss,f1,number_of_samples,percentage_of_samples
0.48411157892809975,0.7720739219712526,84,0.04970414201183432
0.38024165646897423,0.8292682926829268,169,0.1
0.28969747407568824,0.8524923702950152,253,0.14970414201183432
0.2610512094365226,0.8617886178861789,338,0.2
0.24772932297653621,0.8674948240165632,422,0.24970414201183433
0.1985561057097382,0.8774869109947644,507,0.3
0.2571525126695633,0.8342541436464088,591,0.3497041420118343
0.21782721082369486,0.8719512195121951,676,0.4
0.1890244297683239,0.8760975609756096,760,0.44970414201183434
0.19100452173087332,0.8769074262461851,844,0.49940828402366866
0.17524514036873975,0.8835758835758836,929,0.5497041420118344
0.16566775615016618,0.8864541832669324,1014,0.6
0.16369306047757468,0.8821052631578947,1098,0.6497041420118344
0.18823850651582083,0.8614393125671321,1183,0.7
0.16905591802464592,0.8708333333333333,1267,0.7497041420118343
0.1590063702315092,0.8739837398373983,1352,0.8
0.1587964900665813,0.8633093525179857,1436,0.8497041420118343
0.15495867447720635,0.8913480885311871,1521,0.9
0.16039764136075974,0.8805815160955347,1605,0.9497041420118343
0.15531555107898182,0.8824701195219125,1690,1.0
