Loss,f1,number_of_samples,percentage_of_samples
0.297251706096259,0.8156862745098038,84,0.04970414201183432
0.3124162877317179,0.8209424083769634,169,0.1
0.3099993989718231,0.8174904942965779,253,0.14970414201183432
0.254949079064483,0.8603238866396761,338,0.2
0.23622687364166434,0.8655462184873949,422,0.24970414201183433
0.21855571010912006,0.8595041322314049,507,0.3
0.21286633885888892,0.8704453441295548,591,0.3497041420118343
0.21249634543941778,0.8782518210197711,676,0.4
0.23869588306512346,0.8636363636363636,760,0.44970414201183434
0.22016153950244188,0.8593406593406594,844,0.49940828402366866
0.21115367707203736,0.8611111111111112,929,0.5497041420118344
0.2246816563843326,0.8574537540805223,1014,0.6
0.20364343573931942,0.861878453038674,1098,0.6497041420118344
0.17658180675723337,0.8577277379733879,1183,0.7
0.15974220472641967,0.8721649484536083,1267,0.7497041420118343
0.16772766555236143,0.8718487394957984,1352,0.8
0.16298501066524873,0.8670756646216768,1436,0.8497041420118343
0.18555588055063377,0.8565531475748195,1521,0.9
0.2131515106355602,0.8457142857142858,1605,0.9497041420118343
0.1924680918455124,0.8445378151260505,1690,1.0
