Loss,f1,number_of_samples,percentage_of_samples
0.3446488380432129,0.6601941747572815,21,0.04783599088838269
0.2908506006002426,0.7058823529411765,43,0.0979498861047836
0.28795854151248934,0.7572815533980584,65,0.1480637813211845
0.28606595993041994,0.6990291262135923,87,0.19817767653758542
0.2907591700553894,0.7107438016528926,109,0.24829157175398633
0.22148872613906861,0.7450980392156863,131,0.2984054669703872
0.21036384105682374,0.7962962962962964,153,0.34851936218678814
0.21434604972600937,0.7924528301886793,175,0.39863325740318906
0.23988183438777924,0.7350427350427351,197,0.44874715261959
0.21446509510278702,0.7889908256880734,219,0.4988610478359909
0.22390829175710678,0.7962962962962964,241,0.5489749430523918
0.18480494916439055,0.7543859649122807,263,0.5990888382687927
0.21111922115087509,0.7636363636363637,285,0.6492027334851936
0.20298420637845993,0.7179487179487181,307,0.6993166287015945
0.24778663218021393,0.7107438016528926,329,0.7494305239179955
0.22107462137937545,0.7818181818181819,351,0.7995444191343963
0.1954268142580986,0.7636363636363637,373,0.8496583143507973
0.19836050122976304,0.7961165048543689,395,0.8997722095671982
0.2167384535074234,0.7499999999999999,417,0.9498861047835991
0.17627185583114624,0.792079207920792,438,0.9977220956719818
