Loss,f1,number_of_samples,percentage_of_samples
0.2968754142522812,0.693877551020408,21,0.04783599088838269
0.26938348114490507,0.7339449541284404,43,0.0979498861047836
0.24725492000579835,0.7961165048543689,65,0.1480637813211845
0.2562077581882477,0.7142857142857142,87,0.19817767653758542
0.23124568462371825,0.7079646017699116,109,0.24829157175398633
0.22946061491966246,0.694214876033058,131,0.2984054669703872
0.2402230590581894,0.7049180327868853,153,0.34851936218678814
0.22616663575172424,0.7207207207207208,175,0.39863325740318906
0.22591136395931244,0.6935483870967741,197,0.44874715261959
0.27273972034454347,0.6929133858267716,219,0.4988610478359909
0.22989848554134368,0.7476635514018691,241,0.5489749430523918
0.22607739865779877,0.7652173913043478,263,0.5990888382687927
0.21560404151678086,0.7787610619469026,285,0.6492027334851936
0.22340904772281647,0.7610619469026548,307,0.6993166287015945
0.2572668373584747,0.6771653543307087,329,0.7494305239179955
0.20745538771152497,0.7610619469026548,351,0.7995444191343963
0.1978156939148903,0.7787610619469026,373,0.8496583143507973
0.19362801760435105,0.766355140186916,395,0.8997722095671982
0.20721190869808198,0.7610619469026548,417,0.9498861047835991
0.1787472575902939,0.7818181818181819,438,0.9977220956719818
