Loss,f1,number_of_samples,percentage_of_samples
0.3193783700466156,0.6782608695652174,21,0.04783599088838269
0.2945677489042282,0.6909090909090909,43,0.0979498861047836
0.29584743082523346,0.7027027027027026,65,0.1480637813211845
0.28435828983783723,0.6964285714285715,87,0.19817767653758542
0.2869610279798508,0.7155963302752293,109,0.24829157175398633
0.2578624963760376,0.7289719626168225,131,0.2984054669703872
0.22990642189979554,0.7200000000000001,153,0.34851936218678814
0.22888823747634887,0.6981132075471698,175,0.39863325740318906
0.26141213774681094,0.64,197,0.44874715261959
0.24115016162395478,0.6530612244897959,219,0.4988610478359909
0.28281146883964536,0.679245283018868,241,0.5489749430523918
0.23340051174163817,0.7400000000000001,263,0.5990888382687927
0.2477385550737381,0.660377358490566,285,0.6492027334851936
0.2237555652856827,0.7521367521367521,307,0.6993166287015945
0.22811366319656373,0.7166666666666666,329,0.7494305239179955
0.19648128598928452,0.7857142857142858,351,0.7995444191343963
0.19146491289138795,0.7747747747747747,373,0.8496583143507973
0.1957579091191292,0.7706422018348624,395,0.8997722095671982
0.225748972594738,0.7889908256880734,417,0.9498861047835991
0.1747752919793129,0.780952380952381,438,0.9977220956719818
