Loss,f1,number_of_samples,percentage_of_samples
0.2973205029964447,0.6666666666666666,21,0.04783599088838269
0.28900822103023527,0.6964285714285715,43,0.0979498861047836
0.2863460391759872,0.6779661016949152,65,0.1480637813211845
0.2724264979362488,0.6666666666666665,87,0.19817767653758542
0.2542117089033127,0.7428571428571428,109,0.24829157175398633
0.24005240499973296,0.7155963302752293,131,0.2984054669703872
0.24506629407405853,0.736842105263158,153,0.34851936218678814
0.23289936184883117,0.7586206896551724,175,0.39863325740318906
0.22557374835014343,0.7241379310344828,197,0.44874715261959
0.19500690549612046,0.8076923076923076,219,0.4988610478359909
0.2536821037530899,0.7200000000000001,241,0.5489749430523918
0.1876284122467041,0.7735849056603775,263,0.5990888382687927
0.20831407010555267,0.7256637168141592,285,0.6492027334851936
0.19731584042310715,0.7678571428571429,307,0.6993166287015945
0.19957629591226578,0.8073394495412846,329,0.7494305239179955
0.1878140985965729,0.7747747747747747,351,0.7995444191343963
0.2040659546852112,0.7476635514018691,373,0.8496583143507973
0.2044677644968033,0.7289719626168225,395,0.8997722095671982
0.19056655168533326,0.7476635514018691,417,0.9498861047835991
0.19299068450927734,0.7719298245614035,438,0.9977220956719818
