Loss,f1,number_of_samples,percentage_of_samples
0.2162658679816458,0.5172413793103449,100,0.09803921568627451
0.22837507294025272,0.7262569832402236,200,0.19607843137254902
0.2023881213584294,0.7735368956743003,300,0.29411764705882354
0.18663928277480105,0.7272727272727273,400,0.39215686274509803
0.18421870589049327,0.7465940054495912,500,0.49019607843137253
0.18039508179451028,0.7967032967032966,600,0.5882352941176471
0.16449898884942135,0.8033240997229918,700,0.6862745098039216
0.1379313935370495,0.8034682080924856,800,0.7843137254901961
0.1352160615949995,0.8022284122562674,900,0.8823529411764706
0.18345310062997872,0.7688311688311689,1000,0.9803921568627451
