Loss,f1,number_of_samples,percentage_of_samples
0.2123279433645722,0.5686274509803921,100,0.09803921568627451
0.20257519585235664,0.7520891364902507,200,0.19607843137254902
0.21185233407757348,0.6745562130177515,300,0.29411764705882354
0.19090884856672752,0.7574931880108992,400,0.39215686274509803
0.2055091767364906,0.7741935483870968,500,0.49019607843137253
0.1924943797962947,0.784,600,0.5882352941176471
0.17638158531756037,0.7893333333333333,700,0.6862745098039216
0.190260774249004,0.7817258883248731,800,0.7843137254901961
0.1421730154607859,0.7621776504297993,900,0.8823529411764706
0.1414847040755881,0.7855153203342619,1000,0.9803921568627451
