Loss,f1,number_of_samples,percentage_of_samples
0.20773384964559227,0.7337278106508875,100,0.09803921568627451
0.19374447927758512,0.797752808988764,200,0.19607843137254902
0.17110460409377184,0.783068783068783,300,0.29411764705882354
0.16967759234830737,0.8054054054054054,400,0.39215686274509803
0.17769115257801282,0.7866323907455013,500,0.49019607843137253
0.17525512704418766,0.7891891891891891,600,0.5882352941176471
0.18206116324290633,0.7638190954773869,700,0.6862745098039216
0.1730657395027164,0.7968337730870713,800,0.7843137254901961
0.15216121569068897,0.7887323943661972,900,0.8823529411764706
0.16118160355836153,0.767123287671233,1000,0.9803921568627451
