Loss,f1,number_of_samples,percentage_of_samples
0.7309365489841987,0.6370192307692307,100,0.05917159763313609
0.5337423182311741,0.7010309278350515,200,0.11834319526627218
0.5762660173521212,0.6529562982005142,300,0.17751479289940827
0.35629529845626917,0.7563884156729132,400,0.23668639053254437
0.2495360472581952,0.8227712137486574,500,0.2958579881656805
0.2205137109678403,0.8645833333333335,600,0.35502958579881655
0.2675277283757596,0.7999999999999999,700,0.41420118343195267
0.20145643753109171,0.8551020408163266,800,0.47337278106508873
0.19159884974086547,0.8553971486761711,900,0.5325443786982249
0.1882020393591922,0.8610837438423646,1000,0.591715976331361
0.19393093122840477,0.86302780638517,1100,0.650887573964497
0.1565265626345268,0.8718487394957984,1200,0.7100591715976331
0.1546535482424695,0.8717948717948717,1300,0.7692307692307693
0.21050570828853832,0.8355855855855856,1400,0.8284023668639053
0.19921919033753083,0.8552486187845304,1500,0.8875739644970414
0.1833877066930975,0.8441145281018028,1600,0.9467455621301775
