Loss,f1,number_of_samples,percentage_of_samples
0.6158564198348258,0.6496519721577726,100,0.05917159763313609
0.5336955380108621,0.6865315852205006,200,0.11834319526627218
0.49361140301658046,0.7144563918757467,300,0.17751479289940827
0.2567217784623305,0.8393782383419689,400,0.23668639053254437
0.2391702120916711,0.8446298227320126,500,0.2958579881656805
0.22501281421217653,0.8481781376518218,600,0.35502958579881655
0.19649820712705454,0.8610837438423646,700,0.41420118343195267
0.17109793176253638,0.8770571151984511,800,0.47337278106508873
0.16520766065352493,0.8873096446700506,900,0.5325443786982249
0.16819660717414486,0.8804020100502513,1000,0.591715976331361
0.17945876427822643,0.8723186925434118,1100,0.650887573964497
0.17251853520671526,0.8866995073891626,1200,0.7100591715976331
0.15413669413990444,0.8986083499005963,1300,0.7692307692307693
0.14322229474782944,0.8868120456905504,1400,0.8284023668639053
0.15270512075059944,0.8938321536905967,1500,0.8875739644970414
0.16014958545565605,0.8739669421487604,1600,0.9467455621301775
