Loss,f1,number_of_samples,percentage_of_samples
0.4620963335739147,0.7725225225225225,100,0.05917159763313609
0.25832775150261383,0.8080593849416756,200,0.11834319526627218
0.24672913137713776,0.8315334773218143,300,0.17751479289940827
0.27478781155557097,0.837108953613808,400,0.23668639053254437
0.29223754425937143,0.8344226579520696,500,0.2958579881656805
0.2694043391418424,0.8338249754178959,600,0.35502958579881655
0.22782077881000826,0.8653846153846154,700,0.41420118343195267
0.23707721836741685,0.8490153172866521,800,0.47337278106508873
0.21331812408136422,0.8433476394849784,900,0.5325443786982249
0.19826998680775218,0.8445873526259378,1000,0.591715976331361
0.22287534267696388,0.8414239482200647,1100,0.650887573964497
0.20727958723300083,0.851148851148851,1200,0.7100591715976331
0.18799305564436294,0.8476953907815632,1300,0.7692307692307693
0.16966912147643812,0.8668796592119274,1400,0.8284023668639053
0.17128428121042602,0.8401639344262295,1500,0.8875739644970414
0.19432326159029104,0.8456659619450317,1600,0.9467455621301775
